"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,質感,コストパフォーマンス,デザイン,気持ち,レスポンス,評判,発色,レンズ,描写,性能,色乗り,不満,相性,天気,感触,もち,精度,色のり,ホールド性,価格,感じ,出来,質,視認性,カメラ,感度,ヌケ,色,機能,大きさ,液晶,重さ,切れ,値段,重量バランス,描写力,操作感,ボケ味,画像,AF,バッテリー,反応,補正,解像度,ボケ,位置,コントラスト,取り回し,ホールド,条件,音,問題
のよい,0.000345936285980407,6,1,5,0,0,0,0,1,0,0,0,3,0,3,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
を考えると,0.000331914648550289,8,2,4,3,0,3,0,0,0,10,0,0,0,0,0,0,1,12,0,0,0,0,1,1,0,0,0,45,0,0,0,0,0,0,0,0,8,8,0,1,0,27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
がよく,0.000323977314063989,5,1,5,3,1,0,1,0,1,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
も良いと,0.00030840487380146,11,6,1,6,1,2,0,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0
がよい,0.000291625624488013,3,1,6,2,6,3,0,0,1,3,1,2,0,0,0,0,0,4,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0
も良いです,0.000285041383484447,4,5,1,9,5,2,4,0,2,0,2,0,0,0,4,0,3,0,2,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0,0,1,0,0,0,0
は思います,0.000275618212397193,0,28,1,11,0,12,4,4,2,2,11,0,0,0,2,6,5,4,1,0,0,0,0,0,0,0,1,3,0,1,0,1,3,1,0,1,1,0,5,1,0,2,0,0,0,2,1,2,3,0,3,1,0,0,0,0,0,0,0,1
は良好です,0.000261322039335209,3,2,5,6,0,3,9,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の取れた,0.000259100606945301,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の高い,0.000255584077138176,2,0,0,0,0,0,0,0,5,36,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0
が良いので,0.000240440397344706,2,5,3,2,2,1,3,1,0,0,2,0,1,6,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
はいいと,0.000239745750251943,4,11,3,9,0,0,0,2,2,1,6,0,0,0,0,3,0,3,0,0,2,0,0,2,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
はいいです,0.000209235959266162,0,11,3,4,1,10,2,7,5,1,3,0,0,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,1,2,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
は良い,0.000204147471610373,2,7,1,2,4,3,7,3,0,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
が高い,0.000199947941615729,2,0,0,3,0,1,1,0,9,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,9,0,0,1,0,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,0,6,0,0,5,0,0,0,0,0
が悪いと,0.00019799028199512,4,4,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,0
もいいです,0.000186824539982229,0,9,1,3,6,1,3,0,5,0,3,0,1,0,1,0,1,0,0,0,2,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0
は良く,0.000185882511448223,3,7,1,2,2,4,1,2,0,0,0,0,1,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
が悪く,0.00018508699330015,2,0,1,0,6,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,1,0
のとれた,0.000182330056739286,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,0.000173646445317473,1,10,1,8,4,1,1,2,6,0,2,0,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
がいいと,0.00016695765887539,4,1,3,0,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
を考えれば,0.000155600361395703,5,2,0,1,0,3,1,2,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,12,1,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いです,0.000155011961943928,2,4,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
もいい,0.000150599687567904,2,4,1,5,0,0,3,3,0,1,2,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,0,0,1,0,0,0
がいいので,0.000142162303442482,0,1,1,2,6,5,1,2,0,1,0,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
の悪い,0.000140278498736751,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
は最高です,0.000136856532900003,0,7,2,1,1,1,0,4,4,9,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
もありません,0.000134333849889698,0,6,1,1,0,1,5,8,0,0,1,0,0,0,1,1,0,0,0,15,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,2,1,1,0,0,0,0,1,0,3,1,1,1,0,2,0,0,0,0,0,0,0,0,21
に優れた,0.000131591264534667,0,1,0,2,0,5,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くて,0.000128872396945836,1,2,1,0,2,1,1,2,1,0,0,0,1,0,0,1,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は抜群です,0.000126161419420639,1,1,0,6,1,17,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,0.000123942521986653,3,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
がよいです,0.000116735638762532,0,0,5,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好です,0.000115488226821964,0,2,1,3,1,0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,0.000115186280827815,0,2,0,3,2,2,3,1,4,0,5,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,2,1,2,0,0,0,0,0,0,0,1,0,4,0,1,0,1,1,1,0,0,0,0,0
はいいですね,0.000114388494374955,2,2,0,1,2,0,0,4,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0
がいいですね,0.000110010523053158,1,1,4,1,0,0,0,0,2,0,4,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
があり,0.00010754280525025,0,1,0,1,0,0,2,0,4,0,0,1,0,0,1,5,0,0,0,14,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,10,1,0,4,4,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,0,2,2
が感じます,0.000105640486848049,3,0,1,0,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
は悪いです,0.000104575042375747,1,3,0,3,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0
になります,0.000101498478142908,1,5,0,0,0,0,0,3,0,0,1,2,0,0,3,3,7,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,3,0,0,5,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
はありませんが,0.000100207197065149,0,4,0,1,1,7,2,0,1,0,2,0,0,0,0,2,0,1,0,26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1,0,1,0,0,0,0,0,1,3,1,0,9,1,0,0,0,0,0,0,0,8
も満足しています,9.56180265323049e-05,1,11,0,2,1,0,2,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0
はありますが,9.47202232195898e-05,0,9,0,3,1,0,0,1,3,0,4,0,0,0,0,2,1,0,0,17,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,4,1,1,4,0,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,1,0,1,6
が良くない,9.45695628085221e-05,1,1,1,1,5,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
はあります,9.33327297068208e-05,0,6,0,1,0,1,3,1,6,0,2,0,0,0,0,4,5,3,0,4,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,2,1,2,0,0,0,4,0,0,2,3,0,0,2,0,2,0,0,0,0,0,0,1
は高いと,9.13973987445702e-05,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はします,9.10645962782646e-05,1,7,0,0,2,0,3,2,1,0,3,0,0,0,2,6,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,2,0
があります,8.96038571697302e-05,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,22,0,0,1,0,1,0,0,0,5,0,1,0,0,0,0,0,2,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,4
のある,8.63140280202307e-05,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,0,0,4,0,2,0,0,0,0,7,2,0,0,0,0,0,0,0,2
もなく,8.60930414706869e-05,1,5,1,2,1,1,0,0,1,0,0,0,0,0,2,1,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,12
は良いのですが,8.50462043082058e-05,0,4,0,4,1,5,3,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
をする,8.26661531935049e-05,0,2,0,0,0,0,0,18,0,0,0,0,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
はよいです,8.22091617921673e-05,1,2,0,4,3,3,2,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,8.15316688222978e-05,1,3,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えて,8.07564992307123e-05,2,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
にありません,7.90315424770385e-05,0,3,1,3,1,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
といい,7.8075759202397e-05,0,3,0,1,0,1,2,0,4,1,1,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよいと,7.42678695428465e-05,1,1,1,0,1,2,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いですね,7.37752542045048e-05,1,5,1,1,2,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
も高く,7.35823965623647e-05,0,0,0,0,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0
もいいですね,7.35662074429325e-05,0,1,1,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
が悪いので,7.35119754191701e-05,1,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
には満足しています,7.34197923612187e-05,0,12,1,1,1,1,1,3,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪くないと,7.33154430379117e-05,1,1,2,1,1,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は気に入っています,7.25323726446103e-05,1,5,1,1,0,0,2,0,1,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
も含めて,7.15873184690147e-05,1,1,1,1,0,0,0,0,3,2,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足しています,7.11335549798572e-05,0,8,1,1,0,2,0,3,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
は思いますが,6.90907118029717e-05,0,7,0,3,1,2,2,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
が良いのか,6.87677067870869e-05,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
をします,6.82768536332063e-05,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高く,6.64600208798165e-05,0,0,0,1,0,0,1,0,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0
にある,6.47938215089231e-05,0,3,0,1,0,0,0,2,1,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,0,1,0,0,0,0,0,8,0,1,0,0,0,0
はあり,6.42122822794009e-05,0,8,0,1,0,0,2,2,1,0,5,0,0,0,1,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
で満足しています,6.36377090057538e-05,0,8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,3,1,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くなりました,6.2568382354146e-05,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いとは,6.25401778807436e-05,0,2,2,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足です,6.25301623580852e-05,0,7,1,2,0,2,1,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
で決めました,6.18451401512687e-05,1,0,0,2,1,1,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いですね,6.14818814155399e-05,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
がよいと,6.14384193136257e-05,0,0,1,1,0,1,3,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありますが,6.12193257095759e-05,0,1,1,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
