"",weight,バランス,画質,使い勝手,操作性,携帯性,持ち,ホールド感,写り,質感,コストパフォーマンス,デザイン,気持ち,評判,レスポンス,描写,レンズ,性能,発色,色乗り,相性,天気,感触,精度,色のり,ホールド性,価格,もち,出来,質,感じ,視認性,不満,ヌケ,感度,色,カメラ,値段,重量バランス,大きさ,切れ,操作感,重さ,反応,機能,液晶,ボケ味,解像度,画像,位置,描写力
も満足しています,6.5523093229306e-05,1,11,0,2,0,1,2,1,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
はあります,6.29235232570552e-05,0,6,0,1,1,0,3,1,6,0,2,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,3,0,0,2,0,0,2,0,1,1,0,0,2,0,4
はします,6.28853728720634e-05,1,7,0,0,0,2,3,2,1,0,3,0,0,0,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0
も悪くなく,6.18499281786689e-05,1,3,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
はよいです,6.05016971757902e-05,1,2,0,4,3,3,2,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
は良いのですが,6.03155668292848e-05,0,4,0,4,5,1,3,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
のある,5.95496739366336e-05,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,7,0,1,0,1,0,2,2,0,0,4
にありません,5.88858533345889e-05,0,3,1,3,1,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0
をする,5.88350871779149e-05,0,2,0,0,0,0,0,18,0,0,0,0,0,0,17,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0
といい,5.79600562696406e-05,0,3,0,1,1,0,2,0,4,1,1,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0
はありますが,5.75887378542385e-05,0,9,0,3,0,1,0,1,3,0,4,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,17,0,0,0,1,0,0,1,0,0,4,0,4,1,1,1,0,0,0
はありませんが,5.7539063913281e-05,0,4,0,1,7,1,2,0,1,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,0,0,1,0,0,1,1,0,0,0,6,1,0,1,1,0,0
もなく,5.69359883664728e-05,1,5,1,2,1,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
はよいと,5.59334874025527e-05,1,1,1,0,2,1,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
は悪くないと,5.56531794093434e-05,1,1,2,1,2,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
を考えて,5.5168660386875e-05,2,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
は良いですね,5.45673485072978e-05,1,5,1,1,1,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
もいいですね,5.45342866141673e-05,0,1,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
には満足しています,5.41073421376908e-05,0,12,1,1,1,1,1,3,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0,1,0,0
が悪いので,5.40476206869485e-05,1,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
も含めて,5.40218424698531e-05,1,1,1,1,0,0,0,0,3,2,2,0,0,0,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
があります,5.38815085140105e-05,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,5,0,22,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0,1,1,0
は気に入っています,5.3727038631276e-05,1,5,1,1,0,0,2,0,1,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
が良いのか,5.34130880781656e-05,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は満足しています,5.2632400161916e-05,0,8,1,1,2,0,0,3,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
は思いますが,5.05028557220255e-05,0,7,0,3,2,1,2,0,1,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0
をします,5.03379634689276e-05,0,0,0,0,0,0,0,17,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も高く,4.89243496038253e-05,0,0,0,0,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
が良くなりました,4.82141165853471e-05,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
で満足しています,4.79419281046848e-05,0,8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,1,0,3,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,2,0,0
が高く,4.76684119112034e-05,0,0,0,1,0,0,1,0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,1
が良いとは,4.7077426715491e-05,0,2,2,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
で決めました,4.66616712625349e-05,1,0,0,2,1,1,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
は満足です,4.63798906282434e-05,0,7,1,2,2,0,1,2,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
はあり,4.58734566646056e-05,0,8,0,1,0,0,2,2,1,0,5,0,0,0,4,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
という点では,4.57657513088502e-05,0,2,2,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
も良いですね,4.55509625581884e-05,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
もある,4.53954305953107e-05,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
がよいと,4.53851876429221e-05,0,0,1,1,1,0,3,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を重視して,4.48390186059137e-05,2,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいい,4.41806336324826e-05,1,3,0,2,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いです,4.37529960465396e-05,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
は悪くないです,4.35280028508718e-05,0,0,3,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
に満足しています,4.22389024203773e-05,0,4,1,1,0,1,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,2
もありますが,4.17072315308029e-05,0,1,1,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0
にある,4.13065978289222e-05,0,3,0,1,0,0,0,2,1,0,0,0,0,0,5,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,8,3
はよい,4.06618768436112e-05,1,4,1,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が好きです,3.98890763109252e-05,1,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
も気に入っています,3.98705510655402e-05,0,3,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1
は最高だと,3.9768351427993e-05,1,1,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がなる,3.93007376623851e-05,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
がありません,3.92675802011798e-05,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
は高いです,3.92122726043086e-05,0,0,0,1,0,0,1,0,2,4,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0
は感じます,3.86691337817623e-05,0,8,0,2,1,0,1,1,2,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0
も良くて,3.82012773215106e-05,0,4,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいし,3.75458607102351e-05,0,2,1,0,4,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が取れた,3.72998188436916e-05,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
