result,評価項目,評価表現,評判情報
"",バランス,が悪いと,重量級のレンズをつけて構えたときのバランスが、留700は悪いと感じます。
"",バランス,がいい,T10は一言で言うと、バランスがいい機種だと思います。
"",バランス,がいいと,写りは全般的にバランスがいいと言えます。
"",バランス,は悪くないと,本体とのバランスは決して悪くないと思います。
"",バランス,が取れた,機動性と画質のバランスが取れたカメラであり、もっと評価されてもいいと思います(再生環境の整備にメーカー側がもう少し力を入れてもらいたいですが)。
"",バランス,の良い,無理にハイビジョンにしなくてもSDでバランスの良い画像にしてくれた方がよかったです。
"",バランス,の取れた,いろいろな面を総合すれば、コンパクトデジカメやデジタルビデオカメラも含めて一番バランスの取れた機種なのではないかと思います。
"",バランス,の取れた,全体的には、バランスの取れた名機と言えるかと思います。
"",バランス,が悪い,しかしレンズが大きいためか、少しバランスが悪い感じです。
"",バランス,の良い,めちゃめちゃ特化した性能というのではなくバランスの良い何にでも使えるオールマイティーなデジカメで値段も安いというのはとても良いですね。
"",バランス,が取れた,コスト・機能・操作性・サイズ・重さのバランスが取れた、非常に良い製品だと思います。
"",バランス,が悪いと,大容量のSDカードとバッテリーの持ちのバランスが悪いと思います。
"",バランス,が良いと,他の競合機種と比べて個人的に好みなのでOKレンズ開口部とボディのバランスが良いと思います。
"",バランス,も良いので,パナライカレンズは大きさの割にホールディングが良く、カメラ装着時のバランスも良いので個人的には問題にしていません。
"",バランス,の良い,そして、各メーカー望遠に特化したモデルを出していますが、FZシリーズが最もバランスの良い望遠モデルだと思います。
"",バランス,は良いです,E-1やE-3とのバランスは良いです。
"",バランス,の取れた,操作感は良いのでバランスの取れた一台だと思います。
"",バランス,の良い,全体的に非常にバランスの良い機種だと思います。
"",バランス,も満足しています,E−330や500とのバランスも良く満足しています。
"",バランス,の取れた,昨日、購入しいろいろ試し撮りを一日中していましたが全体的には非常にバランスの取れた商品で満足しています。
"",バランス,を考えれば,その他は概ね満足出来る仕上がりで値段とのバランスを考えれば十分納得できるお買い得カメラでお勧め出来ます。
"",バランス,が悪いです,画質を気にされる方はLEICADVARIO-ELMARIT14-50mmF2.8-3.5ASPHをお勧めいたしますが、フロントヘビーでとてもバランスが悪いです。
"",バランス,の取れた,全体的にコンパクトデジとしては，バランスの取れたカメラだと思う。
"",バランス,が悪いと,E-510にも食指が動きましたが，実物を見ると太くなったグリップのせいでバランスが悪いと感じました。
"",バランス,はいいですね,TCON-17を取り付けての撮影のバランスはいいですね。
"",バランス,がいいですね,素直な描写で、バランスがいいですね。
"",バランス,のとれた,竹レンズの中でもとてもバランスのとれたいいレンズだと思います。
"",バランス,の取れた,操作性も良好で総合的にみて、非常にバランスの取れた商品です。
"",バランス,は良い,かなりすっきりしていてバランスは良い。
"",バランス,が高いです,初めてのデジイチですが、機能と性能と価格のバランスが良く非常に満足度が高いです。
"",バランス,が好みです,●デザイン主観ですが、横に長いバランスが非常に好みです。
"",バランス,も良いので,パナライカレンズは大きさの割にホールディングが良く、カメラ装着時のバランスも良いので個人的には問題にしていません。
"",バランス,は良いです,E-1やE-3とのバランスは良いです。
"",バランス,も良いと,ニコンD70sとのバランスも結構良いと思います。
"",バランス,もいい,さすがに、キットレンズの18−70mmに比べれば大きいですがD200やD2Hsにはバランスもいい感じだと思います。
"",バランス,は良く,D200とのバランスはなかなか良く、然程重くないので携帯に便利です。
"",バランス,が好みです,D40、D80、D300と組み合わせて使ってきましたがどのボディーとも相性は良いようです、特にD40とのバランスが好みです、この価格で30mmF1.4が味わえるのですから...
"",バランス,の良い,D2Xで使用していますが非常にバランスの良い組み合わせです。
"",バランス,は悪いです,但し、大きさ・重さはかなりのものですから、D200以上の大柄なボディでないとバランスは悪いです。
"",バランス,が高い,性能・価格・拡張性のバランスが良くコストパフォーマンスの高い商品だと思います。
"",バランス,がよい,性能(主に画質)、機能、ホールディングしやすいすぐれたデザインなど、とてもバランスがよいカメラです。
"",バランス,のとれた,一部の他社製品と違い、派手すぎることがなくバランスのとれた絵です。
"",バランス,を考えて,そして、値段とコンデジという携帯性・性能のバランスを考えてチョイスしたのがこのP5100
"",バランス,が良いです,バランスが良いです。
"",バランス,が良いです,ずば抜けてこれが凄い!と言う機種ではないのですが、逆に言うとバランスが非常に良いです。
"",バランス,が良く,デザイン・大きさ・重さのバランスが良く、「中身が詰まってる感」があります。
"",バランス,は良好です,D200にグリップMBD200を装着することが多いので、このレンズとのバランスは良好です。
"",バランス,が良い,ニコンの製品は、現在F3HP、EM(F3がなかなか入手出来なかったためつなぎで買う)F601QD(外観は黒いのがだんだんはげてくる)F6、コンタックスTVS竇「(世間の評価はどうあれいいカメラだと思う)コンデジニコンS700、D70s→D80→D300へ、D200→D300に下取り交換して、今はD300を二台でマグネシウム合金で少し重くなったけど、3インチの液晶の見やすさ、この重さが18〜200とか28〜120のレンズとの重さのバランスがとても良い、D200とD300の二台で行こうと思って、悩んでいたが、同じ機種のほうが使いやすくて、よかった。
"",バランス,もいいですし,お手軽レンズなどと評する方もいらっしゃるようですが、AF−SDXNIKKOR18−200VRとのバランスもD70に比べればいいですし、価格も決して安くはありませんが、価格以上の性能を有するコストパフォーマンスの非常に高いカメラだと思います。
"",バランス,が感じます,ホールド感はほぼD200と同じですが、バランスがいいように感じます。
"",バランス,が良く,全体的に見て、バランスが非常に良く、使いやすいカメラだと思います。
"",バランス,は良いようです,D80とのバランスは良いようです。
"",バランス,も良いと,強いてあげるなら・・・、もう少し大きめに、丈夫に作ってもらえると、Nikonや、FUJIFILMのカメラとのバランスも良いと思います。
"",バランス,はいいと,バランスはいいと思う。
"",バランス,がいい,基本的画質がよく、機能的にも必要な機能はほぼ備えていてバランスがいい機種だと思います。
"",バランス,が良く,確かにVS18-200のズーム倍率と手振れ補正には魅力が有りましたが常用標準レンズとして考えたときはこのレンズが大きさ的にバランスが良く、常用レンズとして最も優れていると感じました。
"",バランス,を考え,購入前はD300装着時のバランスを考え、レンズ本体の大きさや重さ、フィルターの付かない前玉の飛び出しなどを憂慮しましたが、それらは杞憂に終わりました。
"",バランス,も悪くなく,D3の入荷がまだ先になりそうなので、D80で使用しましたがカメラ本体とのバランスも悪くなく、快適に撮影できました。
"",バランス,が感じます,ホールド感の面から見ても横長の方がバランスがよく感じます。
"",バランス,が良いです,全体的に見てとてもバランスが良いです、逆に悪く言ってしまえば全てにおいて中途半端。
"",バランス,の良い,私的には、まだRAW現像など、これから勉強が必要ですが、使い込みの楽しみがある非常にバランスの良いカメラだと思いました。
"",バランス,がよく,仕上がりのデータもバランスがよく、後処理も結構楽にできました。
"",バランス,も良いと,お値段とのバランスも良いと思います。
"",バランス,は良いです,デザインは、Nikonシリーズに、あっているようで、D200(S5pro)に装着したバランスは、とても良いです。
"",バランス,を考えると,デジカメも世代と共にスペックがどんどん良くなるものですが、トータルのバランスを考えると最新機種に決して引けをとらないすばらしいパフォーマンスです。
"",バランス,がいいと,ただし操作部はもう少し厚い方が左右のバランスがいいと思います。
"",バランス,が良く,大きさも、D3との使用では、バランスが良く、扱い易いです。
"",バランス,は良いです,それに、S5Pro(BGなし)に付けたときのバランスはとても良いです。
"",バランス,が良くて,ボディーとレンズのバランスが良くて、ホールドしやすく撮影が楽。
"",バランス,が悪く,私は右手が少し不自由なので感じるのかもしれませんが、シャッターを切る力とカメラをホールドする力のバランスが悪く、少し違和感を感じますが、全体的には非常に満足できるカメラです。
"",バランス,のよい,D200は重さを感じさせないバランスのよい機種だと思う。
"",バランス,もある,VR18−200mmとのバランスも良く程好い重さが安心感がある。
"",バランス,が良いので,また左右、前後の重さのバランスが良いので、手ブレしなくてすみそうです。
"",バランス,を重視して,FXフォーマット(ライカ判)にこだわって買ったわけではなく、画質(特に高感度)と速射性のバランスを重視して購入しました。
"",バランス,が良くない,また、私は手持ちでも手のひらに載せて支持する撮影スタイルのため三脚座を外すことはありませんが、2倍の純正テレコンバータは寸法が長く、バランスが良くないため装着時には三脚座を前後逆にしています。
"",バランス,を考えれば,総合的に値段と性能のバランスを考えれば、大変満足のいく一台です。
"",バランス,の取れた,TC14E竇。、TC20E竇。使用していて今回TC17E竇。を追加ですが300mmF2.8とVR70-200mmF2.8とで使ってみて画質と倍率をうまくバランスの取れたテレコンです
"",バランス,はよいです,使用カメラはD200とD2Hsなのですが、構えたバランスはやはりD2Hsがよいです。
"",バランス,が取れた,しかし、景色の解像力でも全域でバランスが取れたレンズだと思います。
"",バランス,のとれた,高度にバランスのとれた画質だと感じます。
"",バランス,が良く,その点、高感度に強い600万画素のD40はバランスが良く、まだまだ通勤のお供から外せそうにありません。
"",バランス,が悪いので,D40に手振れ補正とフォーカス性能があがればまさに螳檎挑なのですが、VR18〜200は重いし高いし見た目のバランスが悪いので私はあまり付けたくはないです。
"",バランス,がいい,上位機種のキットレンズですが、D40ともバランスが良くなにより値段の割に画質がいい。
"",バランス,の良い,バランスの良いカメラを御希望の方には少し割高感があるかもしれませんが買って納得すると思います。
"",バランス,の良い,とても値段からは信じられないバランスの良い製品でしょう。
"",バランス,がよく,総評上記の理由から、総体的に価格と性能のバランスがよく、汎用性が高いのがこのレンズの人気の理由でしょう。
"",バランス,も良く,パンケーキタイプは、私は初めてですがボディーとのバランスも良く、スナップ撮影にも使用しましたが、使いやすいです。
"",バランス,の良い,撮影が始まってしまえば、これ以上のカメラはないと言えるぐらい、バランスの良いカメラです。
"",バランス,がいい,価格と性能のバランスがとてもいいレンズだと思います。
"",バランス,がよい,D200で使うと18-200よりバランスがよい。
"",バランス,はいいですね,EDレンズのおかげか、技術が向上がされているのか色収差のバランスはいいですね。
"",バランス,も良いので,D80AF-SDX18-135Gレンズキットはレンズとのバランスも良いので待っていたカメラです。
"",バランス,の高い,価格の割にバランスの高い良好製品だと思います。
"",バランス,がいいです,久しぶりのデジカメ購入でしたが、値段と性能のバランスが非常にいいです。
"",バランス,のよい,コンパクトデジカメでは数少ない広角ズームでしかも十分なレンズ性能(私は歪曲収差の少なさを高く評価します)を持ち、手振れ補正機能を搭載(約2段分といったところでしょうか)、小型高画素撮像素子の割りには良好な高感度性能(ISO400は常用できると思います)、圧倒的な接写(マクロ)性能、良好な省電力性能…と非常にバランスのよい本機ですが、いくつか改善を望みたい点がない訳ではありません。
"",バランス,は良いと,少し辛口かもしれませんが、低価格コンパクトとしてバランスは良いと思います。
"",バランス,が良い,カメラとつなげたときのバランスが良いこと。
"",バランス,が良く,使ってみるとバランスが良く、手持ち撮影でも使いこなせます。
"",バランス,が良い,また、バランスが良いためかカタログ数値ほど重さを感じさせない。
"",バランス,の良い,レンズのF値の大きさがシチュエーションによっては適切でないことがありますが、とてもバランスの良いレンズと思います。
"",バランス,の良い,安いし買って損はない商品なのは間違いないでしょう___多彩な撮影機能にボディー内臓手ブレ補正、豊かな諧調で立体的な画像出力とバランスの良いカメラでありコストパフォーマンスも高い。
"",バランス,が良くなりました,私はZ竏窒PPでF2.8___28-70___80-200などで撮影してきたので反対にバランスが大変良くなりました。
"",バランス,のとれた,購入数ヶ月後の感想ですが、全体的にはバランスのとれた機種だなぁと思いました最新機種との比較は的外れだと思いますので、40Dまでの機種と比較しました。
"",バランス,が好きです,携帯性はたしかにDSシリーズと比べると悪くなったけど、このくらいがバランスが良く好きです。
"",バランス,のよい,非常にバランスのよいカメラですので、在庫のあるうちに皆さんどうぞ!
"",バランス,の高い,5．カメラとして他社のカメラ、特にC社、N社の製品と比較した時ののんびりとした感じは少々野暮ったく感じますが、古いレンズもサポートし、カメラ内部に手ぶれ防止を備え、普通の方が普通に使うデジカメ一眼としてはバランスの高いカメラだと思っています。
"",バランス,のとれた,締まりのあるバランスのとれたデザインもなかなか。
"",バランス,も含めて,銀塩はず縲怩チとMFニコン一筋30と?年なのですが、コイツは発表直後より「機能・価格のバランスも含めて所謂ファミリーカメラ用としては最強じゃないか!」と、コンデジに買い増す形での購入を決心し16日にGETしました。
"",バランス,がよく,外観デザインもバランスがよく、とても美しい!
"",バランス,は良いと,グリップ付きの20Dや1D3に付けた場合は、バランスはとても良いと思います。
"",バランス,は良い,やや重いが、カメラ(K20D)とのバランスは良い。
"",バランス,のとれた,K10Dに装着すると非常にバランスのとれた重さになり、手にしっくりと馴染みます。
"",バランス,が良い,主観ですが、見た目にM42レンズ等の古いレンズを装着した時のバランスが良い気がします。
"",バランス,の取れた,バランスの取れた日常を撮る為の標準ズームですね。
"",バランス,の取れた,全体的にはバランスの取れたとてもよいカメラだと思います。
"",バランス,も良いと,嵩張るレンズですが思ったほどは重くなく、両カメラにマウントした時のバランスも良いと思います。
"",バランス,も良いと,ニコンD70sとのバランスも結構良いと思います。
"",バランス,も良く,SIGMAAPO70-300とのバランスも良く、買って正解でした。
"",バランス,も良いです,K10Dとのバランスもとても良いです。
"",バランス,の取れた,デザイン、機能、価格のバランスの取れた機種だと思います。
"",バランス,は良好です,DSやK100Dにはやや大きく感じますが、K10Dとのバランスは見た目も良好です。
"",バランス,がよく,○K10Dとのバランスがよく、とてもフォールディングしやすい。
"",バランス,は抜群です,が、その重さゆえに構えたときのバランスは抜群です。
"",バランス,の良い,全体的にバランスの良いズームレンズですが、販売終了してしまったのが悔やまれます。
"",バランス,もよく,K10Dに付けていますが、見た目もバランスもよく、大満足です。
"",バランス,の取れた,実物はWebやカタログで見るほど安っぽくなく、K10Dと組み合わせてもかなりバランスの取れたデザインになります。
"",バランス,も良いです,K10Dとのバランスも良いです。
"",バランス,も良いと,風景もクリヤーに再現、K10Dとのバランスも良いと思います。
"",バランス,が良いと,初心者向けとしては、非常にバランスが良いと思います。
"",バランス,のとれた,カリカリの描写をするわけではないが、軽くて明るく、バランスのとれた画質のレンズ。
"",バランス,が良いので,最近のD40などに比べると大きいですが、バランスが良いので持ちやすく、24mmF2.8などを付けると、ちょうど良い大きさです。
"",バランス,が良い,正方形に近い形は今では時代遅れのようだが、逆にカッコいいとともに、片手で持っても両手で持ってもホールドしやすく、バランスが良い。
"",バランス,の取れた,ビシッとした絵にはならないが、破綻のないバランスの取れたスナップ写真を撮れる、手軽なレンズだと思う。
"",バランス,は良いです,それぞれの標準ズームレンズ(24-70mmf2.8Lと24-70mmf2.8G)をつけた時は、D3の方が軽く、1Dsの方がホールディングのバランスは良いです。
"",バランス,が悪くなる,もちろん、あまりにも軽いとホールド感やバランスが悪くなることは承知していますが、さすがに重い。
"",バランス,を考えると,グリップの握りやすさもいいし、重さもレンズとのバランスを考えるとこれでいいと思う、買って大満足です初心者なので他のデジイチと比較はできませんが、購入前に人の画をあれこれ比較して決めました。
"",バランス,のとれた,感想使っていて、これと言った不満は感じないバランスのとれた良いカメラだと自分は思います。
"",バランス,も良く,レンズの大きさとのバランスも良く、良好。
"",バランス,はいいと,40Dもそこそこ重いので、ホールディングのバランスはなかなかいいと思います。
"",バランス,がいいと,ただ、少し大きいのでKissDXではバッテリーグリップがあったほうがバランスがいいと思います。
"",バランス,は良く,しかしながら、40Dとのバランスはとても良く、持ち運びも苦になりません。
"",バランス,はいいと,重さは「EF-S17-85ISUSM」からの乗り換えだったため多少の戸惑いはありましたが、30Dとのバランスは非常にいいと思います。
"",バランス,が良い,とにかくISの効きは秀逸、KDXとの組み合わせでもバランスが良いため使い勝手は良好です。
"",バランス,のとれた,とてもバランスのとれたレンズだと思います。
"",バランス,はない,2．デザインも悪くなく、40Dとのサイズ的なバランスは問題ない。
"",バランス,になります,さすがに重量はありますが、カメラに装着しますといいバランスになります。
"",バランス,が良い,重さもバランスが良い性かカメラに実装すると実重量ほど感じ無いし、縮めると携帯性も良いです
"",バランス,が良いと,重量感ありますが、むしろバランスが良いと思います。
"",バランス,も良いと,重さもそれなりで、「重いレンズ」とのバランスも良いと思う。
"",バランス,も良く,また望遠レンズとのバランスも良く、三脚などを使用した時も安定しますね。
"",バランス,も良く,全体なバランスも良く、私にとっては大満足な一台かな。
"",バランス,もよく,色や光のバランスも非常によく、天気・屋内外に関わらず、思い通りの写真が撮れたと思います。
"",バランス,を考えたら,「顔ナビ」「手振れ補正」「高画質」「高感度」に「広角28mm」などなどバランスを考えたら今一番良いのではないかと・・・
"",バランス,もよく,カメラとのバランスもよく、携帯性もいいですね。
"",バランス,が良いと,475gと、昨今のデジタル専用と比べると数値で見ると多少重量がありそうですが、感覚的には殆ど差は無く、むしろバランスが良いと感じます。
"",バランス,は良好です,重量はそこそこありますが、縦位置グリップ装着の40Dとのバランスは良好です。
"",バランス,が良いと,操作性:ISは効きが良く、このレンズとバランスが良いと思います。
"",バランス,もよく,カメラとのバランスもよく、なかなかの風格を感じさせてくれるレンズではないですか。
"",バランス,の取れた,ただ、広域ズームとISのおかげでオールマイティに撮影をこなせるので、道具としては非常にすばらしく、画質のシャープでAFの精度も良好であり、いまCANONのズームレンズの中では一番勝手のよいバランスの取れた(価格面も)レンズではないでしょうか。
"",バランス,もよく,本体(EOS5D)とのバランスもよく、表現力はもっと高点数をつけたいくらいです。
"",バランス,は良いですね,やはり、KissDXに装着した時よりは、40Dの方が手持ち時のバランスは良いですね。
"",バランス,は良いと,使用感ですが、適度の重さのため5Dとのバランスは良いと感じました。
"",バランス,は良いと,グリップ付きの20Dや1D3に付けた場合は、バランスはとても良いと思います。
"",バランス,のとれた,音が少々耳障りである点を除けばかなりバランスのとれたレンズかと思います。
"",バランス,がなる,09に較べややレンズが短い分カメラとのバランスが気になるところです。
"",バランス,も良いと,ニコンD70sとのバランスも結構良いと思います。
"",バランス,の取れた,画素数、画質、レスポンス、非常にバランスの取れたカメラだと思います。
"",バランス,が良い,使い勝手的な面では、まず1kgという重さですが1D3との組み合わせでは結構バランスが良い感じです(何故か軽く感じます)。
"",バランス,の取れた,・総合的に見て際立った弱点のない、とてもバランスの取れた機種だと思います。
"",バランス,が良い,画質など個々の項目では910ISを超える機種は多くありますが、トータルでのバランスが良いカメラだと思います。
"",バランス,が良いと,こればかりは実際に手で持って構えてみないと判りませんが、バランスが良いと思ったら私はヘソクリ崩してでも買いますよ。
"",バランス,を考えると,基本的にスポーツ撮影(競馬)とポートレートなので、軽さと機能と価格のバランスを考えると極めてお値打ちなのではないかと思う。
"",バランス,の取れた,全体にバランスの取れた良いカメラだと思います。
"",バランス,の取れた,30Dは総合的には価格と機能のバランスの取れた良機だと思います。
"",バランス,の取れた,後継機種に望むところは・ノイズとのバランスの取れた1200万画素くらいのセンサー・屋外でも見やすくピントの山がわかる液晶・よりマニュアルフォーカスのしやすいファインダー・防塵防滴ボディあたりです。
"",バランス,のとれた,非常にバランスのとれたカメラです。
"",バランス,が良いです,さすが、キャノン、EF単レンズ、DPPソフト、バランスが良いです。
"",バランス,はいい,すべて無難にまとまっていてバランスはいい。
"",バランス,は良いとは,大きさはちょっと大ぶりで、ボディとのバランスは良いとは言えないな。
"",バランス,の良い,APS-Cのカメラの組み合わせなら非常にバランスの良いカメラです。
"",バランス,が良いのか,大きく重いレンズ、というのがサンニッパの印象ですが、このレンズはバランスが良いのか重さを感じないというか、疲れないレンズです。
"",バランス,のとれた,・コスト、300mmまでの画角等を考えると非常にバランスのとれたレンズだと思います。
"",バランス,は良く,流石純正レンズだけあり、ボディーに取り付けた際のバランスは最高に良く、性能対価格比において満足感は高いです。
"",バランス,が良く,重量にして300gほど軽いだけですが、こちらの方がとてもバランスが良く、kissDigitalXにつけても撮りやすいです。
"",バランス,の良い,こちらのレビューなどを読んで、総合的にバランスの良い、初心者にも向く機種かなと思って購入しました。
"",バランス,のよい,全体を見てバランスのよいカメラだと思いますが、つくりが安っぽいですね。
"",バランス,のとれた,リチウムイオン充電池(バッテリーパック)と別に日付/時計機能用リチウム電池(CR2016)が要るし、あまり使い勝手が良いとは思えない部分も散見されますが、総合的に見ればバランスのとれたD-SLRと思います.
"",バランス,の取れた,800万画素と見劣りする画素数ですが、全体的にバランスの取れた画になっていると思います。
"",バランス,を考えれば,・800万画素と、今では少し見劣りする画素数も、解像エンジンとのバランスを考えれば妥当なところ。
"",バランス,が悪くなる,・大口径レンズを付けると、猛烈にバランスが悪くなる。
"",バランス,はよい,グリップとフォルダの関係から親指の根本に加重がかかるので、撮影時のバランスはよい。
"",バランス,が良い,●全般機能や性能のこだわりようと割り切りようのバランスが良い。
"",バランス,を考えると,G7は機能とのバランスを考えるとかなり良好。
"",バランス,がよい,また、ボタン・ダイヤル・レバーなどの配置もバランスがよい。
"",バランス,で決めました,コンパクトさと機能性、拡張性のバランスで決めました。
"",バランス,が良い,40Dにはこの位のボリューム感がバランスが良い。
"",バランス,を考えると,8L等の大きめのレンズもありますので、バランスを考えると40Dかな?と。
"",バランス,の取れた,30Dの時点で満足してましたが、40Dについてもトータル的にバランスの取れた良い機種だと思います。
"",バランス,は最高だと,最近の価格とスペックのバランスは最高だと思います。
"",バランス,の取れた,30Dを見送って待った甲斐のある非常にバランスの取れた良いカメラだと思います。
"",バランス,は気に入っています,今までのストレスから開放され、買い換えたかいがありました画質に付いては、特に問題は無く総合的によく出来たカメラと思いますこれから他社の新製品も色々出てきますが、コストと性能のバランスは1番でしょね正直、大変気に入っています
"",バランス,も良いと,標準ズームクラスを装着した時のバランスも良いと思います。
"",バランス,が良い,性能・価格・使用できるレンズの多さなどを総合的に見て、現在発売されている中級機の中で、最もバランスが良い機種だと思います。
"",バランス,の取れた,非常にバランスの取れた良いデザインだと思う。
"",バランス,が高い,コストパフォーマンスが高く、全体のバランスが非常に高い。
"",バランス,がよく,Lレンズなど重いレンズを装着してもバランスがよく、このあたりはX2より一枚上手といった感じです。
"",バランス,を考えると,個人的に画質とデータサイズのバランスを考えると、4〜5メガぐらいの画素数が一番使いやすいと思っているので、に満足してます。
"",バランス,がなる,また取り付け部が強化された事は歓迎できますが、カメラ側の取り付け部の強度とのバランスが気になるところです。
"",バランス,はいいと,全体のバランスはいいと思います。
"",バランス,を重視して,出来ればガイドナンバーの大きいのが欲しいけど予算的に・・・という方や、カメラとのバランスを重視して出来ればコンパクトなのが欲しいという方にピッタリです。
"",バランス,が取れた,総合的には、偏ってズバ抜けて良い性能があるわけでもなく、かと言って、決定的な弱点があるわけでもないので、無難でバランスが取れたレンズだと思う。
"",バランス,のとれた,携帯性とホールド性は相反するところですが、710ISくらいが丁度バランスのとれたところだと思います。
"",バランス,が悪いです,三脚穴が端にあるのはポケット三脚を使用する際にバランスが悪いです。
"",バランス,の良い,コンデジとして、よくまとまった、バランスの良い製品だと思います。
"",バランス,も良い,光学手振れ補正も付いており、光学ズーム6倍とバランスも良い。
"",バランス,が感じます,24-105mmよりも軽くバランスが良く感じます。
"",バランス,もなく,KISSDNでの使用ですが、レンズとボディのバランスも違和感なく使用できます。
"",バランス,の良い,40Dや5Dくらいの大きさがあるボディには、とてもバランスの良いレンズだと思います。
"",バランス,はよいと,ISとズーム便利さと画質のバランスはとてもよいと思います。
"",バランス,は良いと,主機種はEOS40Dですが、このカメラとのバランスは非常に良いと思います。
"",バランス,も良いですね,大口径でありながらコンパクトなのでKDXとのバランスも非常に良いですね。
"",バランス,が良く,色のりのバランスが良く、中央部の解像が素晴らしい。
"",バランス,も良いと,そもそもこのレンズ、APSフィルム一眼の標準ズームとして発売された経緯もありますし、Kiss系カメラとのバランスも良いと思います。
"",バランス,を考えて,どうせ重いならと、70-200F4LISUSM___と迷いましたが、値段、個人的には望遠レンズの使用頻度の低さ、KDXとのバランスを考えて、55-250の勝ち。
"",バランス,もよいです,ボディとのバランスも丁度よいです。
"",バランス,の良い,とてもバランスの良い入門機だと思います。
"",バランス,の取れた,入門機としてここから中級機にステップアップするもよし、このまま使い続けていくことも良しの非常にバランスの取れた機種だと思います。
"",バランス,が良い,全てにおいてバランスが良い。
"",バランス,が悪く,ホールド感は悪くないのですが、シグマの70−300をつけると、見た目のバランスが悪く、ちょっとかっこ悪い気がします。
"",バランス,が悪い,むしろ、ズームレンズを付けた時のバランスが悪い。
"",バランス,が悪い,ただ、レンズが重いとちょっとバランスが悪いときがありますけどね・・・(笑)
"",バランス,のよい,トータル的には、バランスのよいカメラだと思います。
"",バランス,が悪いと,竭「大口径レンズ使用の場合ですがレンズの重さとボディー本体のバランスが悪いと思います。
"",バランス,は良いと,全体的なバランスは大変良いと思います。
"",バランス,の取れた,次に良いところは、バランスの取れたデザインです。
"",バランス,もいい,重量も軽くて、KDN(バッテリーグリップ付き)に装着して持ったときのバランスもいい感じです。
"",バランス,がいいと,XPであれば15時間録画できますし、大きさ・重さ・画質・機能のバランスが非常にいいと思いました。
"",バランス,を考えると,個人的にはバランスを考えると2.5インチがベストサイズだと思いますが…4点。
"",バランス,のとれた,完成度が高く、バランスのとれた名機だと思います。
"",バランス,が良いです,重さはもう少し有った方がレンズとのバランスが良いです。
"",バランス,の取れた,中堅機らしく非常に良くバランスの取れた、良いカメラだと思います。
"",バランス,は良いと,タムロン28-300mmに比べてコンパクトなので、小型のデジ一眼とのバランスはこちらの方が良いと思う。
"",バランス,は良いと,感度は400までに抑えた方が画質とのバランスは良いと思います。
"",バランス,も良いです,細かな設定機能はついてないけど、顔認識機能やさまざまな撮影モードがあり、購入したデジタル一眼とのバランスもすごく良いです。
"",バランス,の取れた,バッテリーの持ちが若干不安がある点が残念ですが、デザイン、形態性などバランスの取れた使いやすいカメラだと思います。
"",バランス,が良いと,全体的に梨地状にシルバー塗装がされておりメッキ部とのバランスが良いと思います。
"",バランス,を考えると,見た目の雰囲気で本格デジイチと比べてしまうと、見劣りする面も多々あるのでしょうが、実売価格とのバランスを考えるとすばらしいカメラだと思います。
"",バランス,が良い,とてもバランスが良いデジカメです。
"",バランス,が良いです,ボディがしっかりしているので、大きなレンズを装着してもバランスが良いです。
"",バランス,の良い,しかしS5proでは先代の不満点を様々な点で上手に解消し、実にバランスの良いカメラになっていると感じました。
"",バランス,が良く,F31のi-フラッシュはバックとのバランスが良く、人物が真っ白・バックが真っ黒になりにくい。
