"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,コストパフォーマンス,写り,質感,デザイン,気持ち,レスポンス,評判,レンズ,発色,性能,描写,不満,色乗り,満足度,相性,感触,精度,もち,色のり,天気,価格,ホールド性,感じ,質,出来,視認性,液晶,カメラ,完成度,機能,値段,色,バッテリー,感度,重さ,大きさ,ヌケ,解像度,画像,補正,切れ,重量バランス,描写力,AF,ボケ味,操作感,解像感,コントラスト,問題,反応,ボケ,位置,ホールド,色合い,音,取り回し,条件,機能性,AF精度,場合,シャッター音,見た目,・操作性
の高い,0.00111664933810506,2,0,0,0,0,0,0,36,0,5,0,0,0,3,0,0,1,0,0,0,45,0,0,1,0,0,0,0,0,0,2,0,0,0,0,37,0,1,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
がいいです,0.0010451078300209,3,6,12,3,6,1,1,0,1,1,0,9,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0
もよく,0.000998440735612175,5,11,4,5,6,6,5,1,1,2,1,0,0,0,0,6,0,0,0,3,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0
がいい,0.000916851332284655,4,9,1,1,10,1,1,1,5,4,1,9,1,3,1,3,2,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
が良いと,0.000841013476540068,9,13,6,2,2,1,1,2,2,1,1,0,0,0,2,0,1,4,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
を考えると,0.000782560702156555,8,2,4,3,0,3,0,10,0,0,0,0,0,0,0,0,12,1,0,0,0,0,1,0,1,0,0,45,0,0,0,0,0,0,0,0,8,27,0,0,0,1,8,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
のよい,0.000772911979142253,6,1,5,0,0,0,0,0,1,0,0,3,0,3,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
がよく,0.000739110185553234,5,1,5,3,1,0,1,0,0,1,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
がよい,0.000719941162900563,3,1,6,2,6,3,0,3,0,1,1,2,0,0,0,0,4,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,3
も良いと,0.000710528863332853,11,6,1,6,1,2,0,2,2,3,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
は思います,0.000686306355560789,0,28,1,11,0,12,4,2,4,2,11,0,0,0,6,2,4,5,0,1,1,0,0,0,0,0,0,3,1,0,0,1,1,5,3,0,1,2,1,3,1,1,0,0,1,1,3,0,0,0,2,2,0,0,0,1,0,0,0,0,3,0,0,0,1,1,4,0,0,0
も良いです,0.000669836270392561,4,5,1,9,5,2,4,0,0,2,2,0,0,0,0,4,0,3,0,2,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0
が高い,0.000640487756149977,2,0,0,3,0,1,1,14,0,9,0,0,0,0,0,0,2,0,0,0,7,0,0,4,0,0,0,9,1,0,1,0,0,0,1,11,0,9,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
は良好です,0.000603153743159087,3,2,5,6,0,3,9,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
の取れた,0.000572231980147092,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,0.000553819743740954,4,11,3,9,0,0,0,1,2,2,6,0,0,0,3,0,3,0,0,0,0,2,0,1,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
が良いので,0.00054623582929947,2,5,3,2,2,1,3,0,1,0,2,0,1,6,0,1,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
はいいです,0.000504017482409457,0,11,3,4,1,10,2,1,7,5,3,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
は良い,0.000477256864922737,2,7,1,2,4,3,7,0,3,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
が悪いと,0.00044962497756412,4,4,1,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
もいいです,0.000447886555707127,0,9,1,3,6,1,3,0,0,5,3,0,1,0,0,1,0,1,0,0,0,2,3,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,2,1,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
は良く,0.000433721857392761,3,7,1,2,2,4,1,0,2,0,0,0,1,1,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
が悪く,0.000426537475078069,2,0,1,0,6,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0
も良い,0.000415032122532681,1,10,1,8,4,1,1,0,2,6,2,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
のとれた,0.000402681763807213,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は高いと,0.000385397874397144,0,0,0,0,0,0,0,24,0,2,0,0,0,0,1,0,2,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,0.000376444938359352,4,1,3,0,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
を考えれば,0.000364131674974643,5,2,0,1,0,3,1,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,12,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
に優れた,0.00036214408841107,0,1,0,2,0,5,0,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいい,0.000361296422257982,2,4,1,5,0,0,3,1,3,0,2,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,1,0
が悪いです,0.000360562836872084,2,4,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
は最高です,0.000359834916386341,0,7,2,1,1,1,0,9,4,4,2,0,0,0,0,2,0,1,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0
もありません,0.000339815796426156,0,6,1,1,0,1,5,0,8,0,1,0,0,0,1,1,0,0,15,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,2,0,0,1,0,0,1,0,0,1,2,0,0,1,1,3,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は高いです,0.000330715377276723,0,0,0,1,0,0,1,4,0,2,0,0,0,0,1,0,1,1,0,0,68,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
がいいので,0.000330453176280292,0,1,1,2,6,5,1,1,2,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
の悪い,0.000311671994840396,0,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
は抜群です,0.000301416422453202,1,1,0,6,1,17,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があり,0.000297394129653491,0,1,0,1,0,0,2,0,0,4,0,1,0,0,5,1,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,10,0,0,0,1,4,1,0,1,0,1,4,0,0,1,0,0,8,1,2,0,2,0,0,0,2,0,0,0,0,4,0,0,0
が良くて,0.00029515689496421,1,2,1,0,2,1,1,0,2,1,0,0,1,0,1,0,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,0.000294740122596804,0,2,0,3,2,2,3,0,1,4,5,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,1,2,0,1,4,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
も良いので,0.000289439636651552,3,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
も良好です,0.000276894530016395,0,2,1,3,1,0,2,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
はいいですね,0.000270262246343562,2,2,0,1,2,0,0,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
がよいです,0.00026359974918357,0,0,5,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありませんが,0.000261035998873024,0,4,0,1,1,7,2,0,0,1,2,0,0,0,2,0,1,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,6,0,0,1,0,0,1,0,1,1,9,1,0,0,3,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,1,0,0
は悪いです,0.000261014731147844,1,3,0,3,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
がいいですね,0.000259176242198935,1,1,4,1,0,0,0,0,0,2,4,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
はありますが,0.000251977470315979,0,9,0,3,1,0,0,0,1,3,4,0,0,0,2,0,0,1,17,0,1,0,0,0,0,1,0,0,0,6,0,0,0,1,1,0,4,0,0,1,0,4,1,0,1,0,0,0,0,0,2,1,0,1,0,6,0,1,0,1,2,1,0,0,1,0,1,0,0,0
はあります,0.000250544627101432,0,6,0,1,0,1,3,0,1,6,2,0,0,0,4,0,3,5,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,1,1,0,0,0,0,2,2,0,0,2,2,0,0,4,3,0,0,2,0,1,0,2,0,0,1,0,0,0,0,0,2,0,1,0
があります,0.000246534499224818,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,22,0,0,0,1,1,0,0,0,0,0,5,1,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,4,0,4,0,1,1,1,0,0,0,1,0,0,25,0,0,0
になります,0.000241707322228148,1,5,0,0,0,0,0,0,3,0,1,2,0,0,3,3,0,7,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,3,0,0,1,5,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
も満足しています,0.000241038021965469,1,11,0,2,1,0,2,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
が感じます,0.000240216375844715,3,0,1,0,2,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
はします,0.000237433728490066,1,7,0,0,2,0,3,0,2,1,3,0,0,0,6,2,1,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,1,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4,0,0,0,0,0
が高く,0.000224819209943473,0,0,0,1,0,0,1,4,0,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
のある,0.000224655165418672,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,7,7,0,4,0,2,0,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が良くない,0.000222035899352346,1,1,1,1,5,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
はよいです,0.000216287888787942,1,2,0,4,3,3,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
もなく,0.000213229980443603,1,5,1,2,1,1,0,0,0,1,0,0,0,0,1,2,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,12,0,1,0,0,1,1,0,0,0,0,0,0,0,0
も高く,0.000213049582230656,0,0,0,0,0,1,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
といい,0.000209769927619962,0,3,0,1,0,1,2,1,0,4,1,0,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
は良いのですが,0.000206241424742861,0,4,0,4,1,5,3,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が高いです,0.000203272444959573,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にありません,0.000197352186203811,0,3,1,3,1,1,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
をする,0.000195707658889537,0,2,0,0,0,0,0,0,18,0,0,0,0,0,1,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
も悪くなく,0.000191601290968,1,3,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
を考えて,0.000185547313662,2,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が悪いので,0.00018325535022685,1,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
は思いますが,0.000180354028446805,0,7,0,3,1,2,2,0,0,1,3,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
には満足しています,0.000179697807096599,0,12,1,1,1,1,1,0,3,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
はよいと,0.000178215948837524,1,1,1,0,1,2,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
も含めて,0.000178030301387074,1,1,1,1,0,0,0,2,0,3,2,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
もいいですね,0.000176764360348142,0,1,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
は良いですね,0.000176531388230506,1,5,1,1,2,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
