"",weight,画質,持ち,バランス,使い勝手,操作性,携帯性,ホールド感,写り,デザイン,レスポンス,質感,もち,気持ち,コストパフォーマンス,発色,レンズ,描写,性能,不満,色乗り,評判,精度,視認性,感触,相性,ホールド性,位置,感じ,色,感度,液晶,AF精度,画像,質,解像度,重さ,バッテリー,色のり,反応,機能,条件,重量バランス,AF,操作感,音,天気,解像感,補正,ボケ,ボケ味,価格,大きさ,描写力,・操作性,見た目,問題,カメラ,ホールド,グリップ感,・画質,出来,機能性,ヌケ,値段,コントラスト,取り回し,切れ,色合い,シャッター音,場合
はいいですね,0.00235834897915403,2,2,2,0,1,0,0,4,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
は感じです,0.00229520674595971,2,2,0,0,3,2,3,1,5,0,4,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0,0,0,4,2,0,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
もいい,0.00228595826429319,4,0,2,1,5,0,3,3,2,0,0,0,0,1,1,3,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
は悪いです,0.00225918472849113,3,6,1,0,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
のとれた,0.00225328391266422,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くて,0.00220796982463251,2,2,1,1,0,1,1,2,0,1,1,1,0,0,0,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
も良いので,0.00219635031480902,0,4,3,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は最高です,0.00213088643103472,7,1,0,2,1,1,0,4,2,0,4,0,0,9,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
は抜群です,0.00209192812213009,1,1,1,0,6,17,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好です,0.00208383305965805,2,1,0,1,3,0,2,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
が良くない,0.00202527969631917,1,5,1,1,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
を考えれば,0.00198603144414342,2,0,5,0,1,3,1,2,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
はありませんが,0.0018910407570193,4,1,0,0,1,7,2,0,2,0,1,1,0,0,0,2,0,1,26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,6,0,0,3,0,0,0,1,9,0,0,0,1,0,0,0,8,1,0,0,0,0,2,0,0,0,0,1,0,1,0
が悪いので,0.00188576281805424,2,5,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいです,0.00185892106771384,0,1,0,5,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が感じます,0.00180104989127998,0,2,3,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
も満足しています,0.00177375552610005,11,1,1,0,2,0,2,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
がいいですね,0.00175143208603052,1,0,1,4,1,0,0,0,4,0,2,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
はよいです,0.00173438363023434,2,3,1,0,4,3,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
はします,0.00173008186302374,7,2,1,0,0,0,3,2,3,0,1,0,0,0,2,6,1,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,1,1,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0
はありますが,0.00170855261389974,9,1,0,0,3,0,0,1,4,0,3,0,0,0,0,2,1,0,17,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,4,1,1,0,4,0,0,2,0,1,0,1,0,1,1,0,1,0,0,0,6,1,1,0,0,0,1,0,0,0,0,0,2,0,1
があり,0.00170010384209082,1,0,0,0,1,0,2,0,0,0,4,0,1,0,1,5,0,0,14,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,0,0,0,10,0,0,1,0,2,0,8,1,2,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,4,0,0,4
にありません,0.00162901605863784,3,1,0,1,3,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はあります,0.00160873799709295,6,0,0,0,1,1,3,1,2,0,6,0,0,0,0,4,5,3,4,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,2,0,0,0,1,0,0,3,0,0,0,2,2,2,0,0,2,4,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2
があります,0.00160493731694895,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,2,22,0,0,1,0,1,0,0,1,5,0,0,1,0,1,1,0,2,0,0,0,2,1,0,0,1,0,0,4,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,25
になります,0.00159730150900484,5,0,1,0,0,0,0,3,1,0,0,0,2,0,3,3,7,0,1,0,0,0,0,0,0,0,0,22,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0
は良いのですが,0.00156814857149521,4,1,0,0,4,5,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
もなく,0.00149322060347822,5,1,1,1,2,1,0,0,0,0,1,0,0,0,2,1,1,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
の悪い,0.00148521548751191,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
に優れた,0.00146025883152245,1,0,0,0,2,5,0,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は思いますが,0.00140464913944538,7,1,0,0,3,2,2,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0
には満足しています,0.00135888584435063,12,1,0,1,1,1,1,3,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0
といい,0.0013329296281265,3,0,0,0,1,1,2,0,1,0,4,0,0,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
は良いですね,0.00133170212106792,5,2,1,1,1,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
は方だと,0.00133129838025737,2,3,0,0,0,0,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
をする,0.00129404353335112,2,0,0,0,0,0,0,18,0,0,0,0,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,0.00127233088325624,3,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足しています,0.00127157203028898,8,0,0,1,1,2,0,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は気に入っています,0.00125800917071754,5,0,1,1,1,0,2,0,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
は悪くないです,0.00123087284888014,0,1,0,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
は悪くないと,0.00123005388102631,1,1,1,2,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
のある,0.00121705956361128,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,6,7,0,2,0,1,4,0,0,2,0,0,0,0,0,1,0,0,0,0,7,0,0,0
はあり,0.00121195530881554,8,0,0,0,1,0,2,2,5,0,1,0,0,0,1,5,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1
はよいと,0.00120792123442384,1,1,1,1,0,2,1,2,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
もいいですね,0.00119435642569366,1,2,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にある,0.00118720596121487,3,0,0,0,1,0,0,2,0,0,1,0,0,0,0,6,5,1,0,0,0,1,0,0,0,0,8,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
