"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,気持ち,デザイン,質感,評判,レスポンス,コストパフォーマンス,発色,レンズ,性能,描写,色乗り,天気,相性,色のり,ホールド性,精度,感触,出来,価格,質,もち,視認性,ヌケ,切れ,感じ,色,値段,反応,重さ,重量バランス,感度,カメラ
が悪く,1.99084824017838e-05,2,0,1,0,6,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0
は良く,1.94626188633261e-05,3,7,1,2,2,4,1,2,0,0,0,1,1,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
がいいと,1.78561931062681e-05,4,1,3,0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
が高い,1.76878967836268e-05,2,0,0,3,0,1,1,0,0,0,9,0,0,14,0,0,2,0,0,0,0,0,1,4,0,0,9,1,0,0,0,0,0,0,9,0,0,0,0,1
もいいです,1.74266472317625e-05,0,9,1,3,6,1,3,0,0,3,5,0,1,0,1,0,0,1,0,0,2,0,0,1,3,0,0,0,1,0,0,0,2,0,1,0,2,1,0,0
も良い,1.70487070607132e-05,1,10,1,8,4,1,1,2,0,2,6,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0
を考えれば,1.64610949348462e-05,5,2,0,1,0,3,1,2,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,17,0,0,0,0,0
が悪いです,1.62948092153766e-05,2,4,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
の悪い,1.58907563527442e-05,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0
もいい,1.48611339273524e-05,2,4,1,5,0,0,3,3,0,2,0,2,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
がいいので,1.40168081485097e-05,0,1,1,2,6,5,1,2,1,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
が良くて,1.38327258411335e-05,1,2,1,0,2,1,1,2,0,0,1,0,1,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
は抜群です,1.26634992186521e-05,1,1,0,6,1,17,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
がよいです,1.26197230305631e-05,0,0,5,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
は最高です,1.24050631295311e-05,0,7,2,1,1,1,0,4,0,2,4,0,0,9,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
も良いので,1.21055455052893e-05,3,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,1.18320922438869e-05,1,1,4,1,0,0,0,0,1,4,2,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が感じます,1.09690157424665e-05,3,0,1,0,2,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も良好です,1.08958493049936e-05,0,2,1,3,1,0,2,0,0,0,2,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
は感じです,1.07029285417206e-05,0,2,0,3,2,2,3,1,0,5,4,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
もありません,1.04617931910465e-05,0,6,1,1,0,1,5,8,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
はいいですね,1.02473950026303e-05,2,2,0,1,2,0,0,4,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1
に優れた,1.02270979266975e-05,0,1,0,2,0,5,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
になります,1.01313925949259e-05,1,5,0,0,0,0,0,3,2,1,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,1,0,0,0,0,3
が良くない,9.69505199501137e-06,1,1,1,1,5,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も満足しています,9.38997887224416e-06,1,11,0,2,1,0,2,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
は悪いです,9.30344072046718e-06,1,3,0,3,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があり,9.252161734034e-06,0,1,0,1,0,0,2,0,1,0,4,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,4,0,1,1
も悪くなく,8.81700299984281e-06,1,3,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
はします,8.74731299692667e-06,1,7,0,0,2,0,3,2,0,3,1,0,0,0,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,2
はよいです,8.51384249093726e-06,1,2,0,4,3,3,2,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
は良いのですが,8.15526397932982e-06,0,4,0,4,1,5,3,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にありません,8.07568849573808e-06,0,3,1,3,1,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
が良いのか,7.99373463311457e-06,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1
をする,7.9503689942612e-06,0,2,0,0,0,0,0,18,0,0,0,0,0,0,2,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
を考えて,7.90261925094782e-06,2,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
もなく,7.86435667960272e-06,1,5,1,2,1,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
は悪くないと,7.81081038093309e-06,1,1,2,1,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
が悪いので,7.71407837396166e-06,1,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
といい,7.68051277135519e-06,0,3,0,1,0,1,2,0,0,1,4,0,0,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
はよいと,7.66428498790522e-06,1,1,1,0,1,2,1,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は良いですね,7.58323916645318e-06,1,5,1,1,2,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は気に入っています,7.49512309533392e-06,1,5,1,1,0,0,2,0,0,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
は満足しています,7.27216478912087e-06,0,8,1,1,0,2,0,3,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
は高いと,7.26473324609044e-06,0,0,0,0,0,0,0,0,0,0,2,0,0,24,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
には満足しています,7.25993389339639e-06,0,12,1,1,1,1,1,3,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4
もいいですね,7.13333151641148e-06,0,1,1,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も含めて,7.07533726875802e-06,1,1,1,1,0,0,0,0,0,2,3,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
はあります,6.96564396574399e-06,0,6,0,1,0,1,3,1,0,2,6,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3
が良くなりました,6.95466870819926e-06,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
をします,6.92263429171455e-06,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は思いますが,6.79737937811565e-06,0,7,0,3,1,2,2,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
はありませんが,6.77929484231193e-06,0,4,0,1,1,7,2,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
はありますが,6.68479687955446e-06,0,9,0,3,1,0,0,1,0,4,3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,1
で決めました,6.55354439753266e-06,1,0,0,2,1,1,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
も良いですね,6.54421461328418e-06,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
が良いとは,6.50342378514545e-06,0,2,2,0,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もある,6.49629993442233e-06,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
があります,6.48584502107504e-06,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,5,0,0,0,2,0,0,0
を重視して,6.48539067516792e-06,2,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
で満足しています,6.43930106787257e-06,0,8,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,3,1,1,0,0,0,0,2
はいい,6.32731408128327e-06,1,3,0,2,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
のある,6.32359688915013e-06,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0
という点では,6.24474795923486e-06,0,2,2,4,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足です,6.09679925103836e-06,0,7,1,2,0,2,1,2,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪くないです,6.03088141839762e-06,0,0,3,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
がよいと,5.98225312185703e-06,0,0,1,1,0,1,3,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
はあり,5.94368172025378e-06,0,8,0,1,0,0,2,2,0,5,1,0,0,0,1,5,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
がなる,5.89959912825188e-06,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
がありません,5.82835413669632e-06,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよい,5.82215818357449e-06,1,4,1,1,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が取れた,5.78705979426712e-06,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が好きです,5.74831476976158e-06,1,0,0,1,0,0,0,0,0,6,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0
が高いです,5.58705434819412e-06,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0
もありますが,5.55181076910569e-06,0,1,1,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,3
も高く,5.53516407771388e-06,0,0,0,0,0,1,0,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
も良くて,5.40664299253746e-06,0,4,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
に満足しています,5.34269824771013e-06,0,4,1,1,1,0,0,2,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
も気に入っています,5.27680282870435e-06,0,3,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0
が良かったので,5.26057699567615e-06,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
もいいし,5.19433053254763e-06,0,2,1,0,0,4,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
がよいので,5.12167943143755e-06,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
は悪い,5.10394967954849e-06,0,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
が高く,5.06854754050315e-06,0,0,0,1,0,0,1,0,0,0,6,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0
も思います,5.05897121413365e-06,0,5,1,3,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
は感じます,5.02102999944338e-06,0,8,0,2,0,1,1,1,0,5,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
が悪くなる,5.00717133828436e-06,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのが,4.95495650386592e-06,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
は最高だと,4.89782855951162e-06,1,1,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は落ちますが,4.88133584443532e-06,0,5,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
は最高,4.86091005925264e-06,0,1,1,1,1,1,2,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいですし,4.75587018303815e-06,1,4,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
もよいです,4.73210121874025e-06,1,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は高いです,4.71267533275742e-06,0,0,0,1,0,0,1,0,0,0,2,0,0,4,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
は感じました,4.64823758075588e-06,0,2,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
が取れていると,4.62964783541369e-06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はしました,4.56823194459082e-06,0,3,0,5,0,4,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
も良いし,4.53742216620991e-06,0,2,0,1,3,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は問題なし,4.52756255691066e-06,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいと,4.49964837333155e-06,0,2,0,1,0,1,2,1,0,5,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えたら,4.49282350228366e-06,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0
も良いですし,4.46339838706616e-06,0,1,2,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いし,4.4501221193369e-06,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は方だと,4.38868697070286e-06,0,2,0,0,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
は良いようです,4.37014970812e-06,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
は劣りますが,4.34358113912262e-06,0,7,0,2,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はものです,4.34186842671214e-06,0,11,0,2,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
にはあります,4.32664719211744e-06,0,3,1,2,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
