"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,はありません,のよい,を考えると,がよく,も良いと,がよい,も良いです,の取れた,は思います,は良好です,が良いので,の高い,はいいと,はいいです,は良い,が悪いと,が高い,のとれた,が悪く,は良く,もいいです,も良い,がいいと,を考えれば,が悪いです,もいい,の悪い,がいいので,は最高です,に優れた,が良くて,は抜群です,も良いので,がよいです,もありません,も良好です,がいいですね,は感じです
質感,0.000180625869041466,1,4,5,1,5,4,2,4,1,2,4,1,2,0,0,1,3,1,2,0,2,1,0,5,2,5,0,0,9,0,0,0,5,6,0,0,0,0,0,0,4,0,1,0,0,0,0,2,2,4
デザイン,0.000177083212847386,1,7,3,0,7,2,2,11,0,1,1,1,0,0,0,1,4,1,2,0,11,1,2,0,6,3,2,0,0,0,0,0,3,2,1,0,0,2,0,0,2,0,0,0,0,0,1,0,4,5
気持ち,0.000176831877447378,13,7,0,0,0,0,2,0,9,0,9,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0
評判,0.000136250896813313,14,1,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,2,0,0,0,0,0,1,0,0,0,0
レスポンス,0.000134343185379832,2,8,6,6,6,1,0,1,0,0,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
レンズ,0.000102576666128052,5,1,1,1,1,10,0,2,0,0,1,2,8,0,0,0,0,0,0,0,6,0,0,0,3,4,1,0,0,0,0,1,0,1,1,0,0,3,2,0,0,0,1,0,0,0,1,0,2,1
描写,0.000102413144936741,2,0,1,0,6,5,0,0,1,0,1,4,4,0,1,0,0,0,3,0,5,0,2,0,0,0,1,0,0,0,0,3,1,1,0,0,0,1,0,1,1,1,2,0,1,0,0,1,0,0
性能,9.92549109012503e-05,5,2,0,0,3,0,0,3,0,0,2,1,1,0,12,0,0,4,0,0,4,0,1,1,3,0,1,0,2,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,0,0,1,1
発色,9.80777228784901e-05,1,0,3,2,3,2,0,0,0,6,3,0,1,1,0,1,0,0,4,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1
色乗り,9.17351896428784e-05,2,1,2,0,5,1,1,0,2,3,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
天気,7.30778307291051e-05,15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
相性,7.25376354455036e-05,1,2,1,0,3,0,2,1,0,0,0,2,1,0,0,0,0,1,3,0,0,0,1,0,2,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
感触,6.65492130747818e-05,0,2,1,0,0,6,2,1,0,1,1,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
精度,6.6463032433014e-05,2,2,2,2,1,1,0,2,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
色のり,6.64122596022596e-05,1,0,1,0,0,1,1,1,1,6,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
ホールド性,6.39828834047668e-05,0,1,4,2,0,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
価格,6.10987936003239e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0
もち,5.76010840359371e-05,0,1,0,7,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1
出来,5.56076447578375e-05,5,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
質,5.33298630111477e-05,4,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
感じ,5.16441345502355e-05,0,4,0,0,0,3,1,1,2,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0
視認性,5.1166499496759e-05,2,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
ヌケ,4.69451710950716e-05,5,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
不満,4.63234537012056e-05,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
感度,4.62669589657063e-05,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
値段,4.27640341378571e-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,1,1,0,0,0,9,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,4.25295858764565e-05,3,0,0,0,0,2,0,1,0,0,0,1,6,0,0,0,0,0,0,0,3,0,1,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
色,4.23682685736656e-05,0,1,0,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1
重量バランス,4.17133920518954e-05,0,0,3,1,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
大きさ,4.15050402052308e-05,0,0,0,0,1,2,2,1,1,0,1,0,2,0,8,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
切れ,4.14931783832517e-05,4,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,4.04424567238086e-05,0,1,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
重さ,4.01965148665723e-05,0,3,0,0,2,2,0,0,1,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反応,3.97276075676758e-05,2,0,1,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能,3.84172004751876e-05,0,3,0,1,0,0,0,1,0,0,1,0,4,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,1,0,0,2,1,0,0,0,0,2,0,0,2
液晶,3.79927389289227e-05,1,1,0,0,0,7,0,2,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2
ボケ味,3.74818602217992e-05,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,2,0,3,2,0,0
解像度,3.65750119955583e-05,0,1,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,5,0,0,1,2,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
画像,3.60944639557205e-05,0,1,0,1,0,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1
位置,3.54964789657441e-05,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
描写力,3.43093439695775e-05,0,0,0,0,1,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0
コントラスト,3.31636184937715e-05,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ボケ,3.24258392559013e-05,0,1,0,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1
AF,3.1904130031995e-05,0,1,0,1,0,2,0,0,1,0,0,0,6,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0
音,3.07623086501867e-05,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,3.07385866684858e-05,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,2.97069380791707e-05,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
色合い,2.9158933861178e-05,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
補正,2.88799703068276e-05,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
バッテリー,2.85669447225428e-05,0,1,0,0,0,5,0,1,0,0,0,0,9,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
解像感,2.76452565917148e-05,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
満足度,2.70704794733144e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,45,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ホールド,2.66145404836621e-05,0,1,0,0,0,5,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
場合,2.48041846634113e-05,0,0,0,0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AF精度,2.47537091065787e-05,1,0,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
完成度,2.40418107138017e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
見た目,2.3662635333458e-05,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
トータルバランス,2.31391493412433e-05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
機能性,2.23365172539003e-05,0,0,1,0,0,3,0,3,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
機種,2.17077649899137e-05,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
シャッター音,2.11618891703294e-05,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1
表現力,2.10027020095354e-05,0,0,1,0,1,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
・操作性,2.08078155477249e-05,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
電池持ち,1.98465590349384e-05,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
問題,1.97811263944174e-05,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
程度,1.93796616806397e-05,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見栄え,1.8800661810606e-05,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グリップ感,1.87439748581074e-05,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キレ,1.86244901626636e-05,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
人,1.85673417882861e-05,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
気分,1.84763678077499e-05,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音質,1.83737176623301e-05,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
・画質,1.82418241415287e-05,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
雰囲気,1.69845759806037e-05,2,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サイズ,1.69442555065353e-05,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0
画角,1.68032349725536e-05,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評価,1.60981920995155e-05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
グリップ,1.59434118300008e-05,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールディング,1.58119227267973e-05,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利便性,1.54640071406905e-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ファインダー,1.54199178749844e-05,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィーリング,1.49847910587509e-05,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
撮影,1.48234456299613e-05,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
動画,1.48090132218024e-05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
組み合わせ,1.45481536642977e-05,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
作り,1.43686529093848e-05,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
自分,1.39546754775885e-05,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
品,1.39352745141312e-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
使用頻度,1.3779631472663e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
子供,1.31768162708616e-05,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機動性,1.30967850749574e-05,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
品質,1.26367137839127e-05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
軽さ,1.2513907076366e-05,0,0,0,0,0,0,1,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
製品,1.24723869552981e-05,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
センス,1.21414559144508e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ具合,1.2051770360257e-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
配置,1.20469692378493e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
D80,1.20038562053774e-05,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP,1.1970455344795e-05,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
望遠,1.17621870873585e-05,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
切れ味,1.1345515403053e-05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
追従性,1.13072061502078e-05,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
目,1.12022396422684e-05,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
デジカメ,1.10812651483312e-05,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
