"",weight,バランス,画質,使い勝手,操作性,携帯性,持ち,コストパフォーマンス,ホールド感,満足度,質感,写り,デザイン,気持ち,評判,レスポンス,レンズ,性能,発色,完成度,描写,不満,色乗り,解像度,価格,精度,相性,感触,天気,コントラスト,もち,色のり,ホールド性,質,値段,感じ,視認性,使用頻度,出来,評価,感度,カメラ,機能,液晶,解像感,色,描写力,大きさ,ヌケ,重さ,バッテリー,切れ,満足感,補正,AF,ボケ味,重量バランス,操作感,画像,反応,ボケ,位置,問題,機能性,ホールド,取り回し,音,条件,AF精度,色合い,場合
が高い,0.000164910111038529,2,0,0,3,1,0,14,1,7,9,0,0,0,0,0,0,2,0,11,0,0,0,6,9,4,0,0,0,5,0,0,1,1,9,0,0,11,0,4,0,1,0,0,2,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
はありません,0.000159152090104196,0,18,4,11,11,9,0,9,1,2,6,0,1,0,1,8,1,1,0,4,158,0,2,0,1,1,2,0,0,0,0,1,0,0,6,0,1,0,0,0,6,4,1,0,0,2,2,0,1,9,0,0,1,6,1,0,0,3,0,0,0,36,1,1,0,0,0,1,0,2
がいいです,0.000150559724151367,3,6,12,3,1,6,0,1,0,1,1,0,9,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0
もよく,0.000143653982376489,5,11,4,5,6,6,1,5,0,2,1,1,0,0,0,0,0,6,0,0,0,3,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,1,2,0
がいい,0.000132424907924533,4,9,1,1,1,10,1,1,0,4,5,1,9,3,1,1,2,3,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
は高いです,0.000131955736109482,0,0,0,1,0,0,4,1,68,2,0,0,0,0,0,1,1,0,3,1,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
を考えると,0.000126697311563867,8,2,4,3,3,0,10,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,45,0,0,1,0,0,1,0,0,0,27,0,0,1,0,0,0,0,8,0,0,0,1,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が良いと,0.000122893280611876,9,13,6,2,1,2,2,1,0,1,2,1,0,0,0,2,1,0,0,4,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
のよい,0.000112845506006481,6,1,5,0,0,0,0,0,0,0,1,0,3,3,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
がよく,0.000106119038759369,5,1,5,3,0,1,0,1,0,1,0,1,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
も良いと,0.000105528030898487,11,6,1,6,2,1,2,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
は思います,0.000102198477505219,0,28,1,11,12,0,2,4,1,2,4,11,0,0,0,6,4,2,0,5,0,1,1,3,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,3,1,5,0,1,0,0,0,1,3,0,1,3,2,2,0,0,1,0,0,0,1,1,0,0,0,0,1,3,4
がよい,9.93901850756275e-05,3,1,6,2,3,6,3,0,0,1,0,1,2,0,0,0,4,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0
は高いと,9.68604250121409e-05,0,0,0,0,0,0,24,0,10,2,0,0,0,0,0,1,2,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いです,9.57304003814681e-05,4,5,1,9,2,5,0,4,0,2,0,2,0,0,0,0,0,4,0,3,0,2,0,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0
は良好です,8.5989074862028e-05,3,2,5,6,3,0,0,9,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
の取れた,8.38094528466882e-05,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,8.08586840380086e-05,4,11,3,9,0,0,1,0,0,2,2,6,0,0,0,3,3,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
が良いので,7.97519448727642e-05,2,5,3,2,1,2,0,3,0,0,1,2,0,6,1,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
に優れた,7.43338841310538e-05,0,1,0,2,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいです,7.31164363039743e-05,0,11,3,4,10,1,1,2,0,5,7,3,0,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,1,2,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
は良い,6.83621292850543e-05,2,7,1,2,3,4,0,7,0,0,3,2,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
が高いです,6.61547101559779e-05,1,0,0,0,0,0,4,0,16,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,1,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いと,6.60712221037291e-05,4,4,1,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
は最高です,6.47931394372891e-05,0,7,2,1,1,1,9,0,3,4,4,2,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0
もいいです,6.31224040556777e-05,0,9,1,3,1,6,0,3,0,5,0,3,0,0,1,0,0,1,0,1,0,0,0,0,1,2,3,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
は良く,6.30854835802107e-05,3,7,1,2,4,2,0,1,0,0,2,0,0,1,1,1,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
が悪く,6.19810730442785e-05,2,0,1,0,2,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0
も良い,5.98005260072137e-05,1,10,1,8,1,4,0,1,0,6,2,2,0,1,1,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0
を考えれば,5.9285454442114e-05,5,2,0,1,3,0,3,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
のとれた,5.89770223735954e-05,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高く,5.63997333291981e-05,0,0,0,1,0,0,4,1,2,6,0,0,0,0,0,0,1,0,4,0,0,0,8,1,0,0,0,0,1,0,0,0,1,2,0,0,2,0,4,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
がいいと,5.42101826337037e-05,4,1,3,0,1,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
もいい,5.20515270519634e-05,2,4,1,5,0,0,1,3,0,0,3,2,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0
が悪いです,5.12612502514075e-05,2,4,2,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,4.97489654895807e-05,0,6,1,1,1,0,0,5,0,0,8,1,0,0,0,1,0,1,1,0,15,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2,1,0,0,1,1,0,0,1,0,0,2,1,3,0,0,1,0,0,0,21,0,0,0,0,0,1,0,0
がいいので,4.82550363877439e-05,0,1,1,2,5,6,1,1,0,0,2,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
は高い,4.79962700448959e-05,0,0,0,0,0,0,2,0,13,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
も高く,4.77978848131276e-05,0,0,0,0,1,0,4,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,7,2,3,0,0,0,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があります,4.67661042601123e-05,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,22,0,0,0,1,0,1,0,0,0,0,0,1,0,5,0,0,0,1,0,0,2,1,4,0,0,0,0,2,0,1,10,0,0,0,0,1,1,0,1,1,4,0,1,0,0,1,0,0,25
があり,4.64395185792628e-05,0,1,0,1,0,0,0,2,0,4,0,0,1,0,0,5,0,1,1,0,14,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,10,0,8,0,0,1,0,4,0,4,0,1,1,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,4
の悪い,4.63130585643205e-05,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
は抜群です,4.41776267442108e-05,1,1,0,6,17,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,4.40800712543055e-05,0,2,0,3,2,2,0,3,0,4,1,5,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,2,2,1,1,0,1,0,0,4,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
が良くて,4.24079691221794e-05,1,2,1,0,1,2,0,1,0,1,2,0,0,0,1,1,2,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいですね,4.17801604455243e-05,2,2,0,1,0,2,3,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
はあります,4.16915249397389e-05,0,6,0,1,1,0,0,3,0,6,1,2,0,0,0,4,3,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,1,2,0,4,2,0,2,0,0,3,2,3,0,0,0,2,0,2,0,1,0,0,0,0,0,0,1,2
も良いので,4.14700438390787e-05,3,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
も良好です,3.8468708766536e-05,0,2,1,3,0,1,0,2,0,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
はしました,3.83778025369182e-05,0,3,0,5,4,0,0,2,11,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
がよいです,3.80984820898632e-05,0,0,5,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありますが,3.73087819689963e-05,0,9,0,3,0,1,0,0,1,3,1,4,0,0,0,2,0,0,0,1,17,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,4,1,1,0,0,1,0,4,1,0,0,0,2,1,0,0,0,0,1,0,6,1,1,0,1,0,0,2,1
はします,3.67375465905283e-05,1,7,0,0,0,2,0,3,2,1,2,3,0,0,0,6,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,1,0
はありませんが,3.6652079804334e-05,0,4,0,1,7,1,0,2,0,1,0,2,0,0,0,2,1,0,0,0,26,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,0,1,0,0,1,1,0,9,3,0,0,0,1,0,0,0,8,2,0,0,0,0,0,0,0
がいいですね,3.63154547883758e-05,1,1,4,1,0,0,0,0,0,2,0,4,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
が高いと,3.57978903639966e-05,0,0,0,0,1,0,6,0,3,2,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
になります,3.53462988667246e-05,1,5,0,0,0,0,0,0,0,0,3,1,2,0,0,3,0,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,4,0,3,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0
が感じます,3.52405935115291e-05,3,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
が高いので,3.48312967993772e-05,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,2,0,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
は悪いです,3.44655022445613e-05,1,3,0,3,5,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
のある,3.44207940437919e-05,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,4,1,0,1,0,7,0,7,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
も満足しています,3.37158477859847e-05,1,11,0,2,0,1,0,2,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
が良くない,3.08131984152468e-05,1,1,1,1,0,5,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
もなく,3.05519677847582e-05,1,5,1,2,1,1,0,0,0,1,0,0,0,0,0,1,0,2,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,12,0,0,0,1,0,0,1,0
といい,3.04927586199792e-05,0,3,0,1,1,0,1,2,0,4,0,1,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
は良いのですが,2.91542816139063e-05,0,4,0,4,5,1,0,3,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
はよいです,2.8675807173129e-05,1,2,0,4,3,3,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
をする,2.84512804912908e-05,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にありません,2.81258041181561e-05,0,3,1,3,1,1,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0
も含めて,2.80108962888648e-05,1,1,1,1,0,0,2,0,0,3,0,2,0,0,0,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
を考えて,2.77647156680173e-05,2,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
もいいですね,2.76761741431969e-05,0,1,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
