"",weight,バランス,画質,使い勝手,操作性,携帯性,持ち,ホールド感,写り,コストパフォーマンス,質感,デザイン,気持ち,評判,レスポンス,レンズ,描写,性能,発色,色乗り,天気,相性,感触,精度,色のり,ホールド性,価格,もち,出来,質,感じ,視認性,ヌケ,不満,感度,値段,カメラ,色,重量バランス,大きさ,切れ,操作感,重さ,反応,機能,液晶,ボケ味,解像度,画像,位置,描写力
が感じます,1.88448432568635e-05,3,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
になります,1.82475721409141e-05,1,5,0,0,0,0,0,3,0,0,1,2,0,0,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,1,3,5,0,1,0,0,0,0,0,0,0,0,5,0,0
があり,1.71129298373469e-05,0,1,0,1,0,0,2,0,0,4,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14,1,0,1,0,0,1,4,0,4,0,10,0,0,1,0,0,0
は高いと,1.67863465031673e-05,0,0,0,0,0,0,0,0,24,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くない,1.64589823110714e-05,1,1,1,1,0,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,1.60135398856851e-05,1,11,0,2,0,1,2,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
は悪いです,1.60015799954161e-05,1,3,0,3,5,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はします,1.53593304490847e-05,1,7,0,0,0,2,3,2,0,1,3,0,0,0,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0
はあります,1.53587977859363e-05,0,6,0,1,1,0,3,1,0,6,2,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,2,0,0,2,0,1,1,0,0,2,0,4
も悪くなく,1.51143920177338e-05,1,3,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
はよいです,1.4778267149256e-05,1,2,0,4,3,3,2,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
は良いのですが,1.47213688654907e-05,0,4,0,4,5,1,3,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
のある,1.45907924892269e-05,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,7,0,1,0,1,0,2,2,0,0,4
をする,1.43770879307719e-05,0,2,0,0,0,0,0,18,0,0,0,0,0,0,1,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0
にありません,1.43728217834132e-05,0,3,1,3,1,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0
といい,1.41696853815891e-05,0,3,0,1,1,0,2,0,1,4,1,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
はありますが,1.40303788134916e-05,0,9,0,3,0,1,0,1,0,3,4,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,17,0,0,1,0,0,1,0,0,4,0,4,1,1,1,0,0,0
はありませんが,1.40202731900541e-05,0,4,0,1,7,1,2,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,1,0,0,1,1,0,0,0,6,1,0,1,1,0,0
もなく,1.39062190068005e-05,1,5,1,2,1,1,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
はよいと,1.37035282812171e-05,1,1,1,0,2,1,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
は悪くないと,1.36075437455799e-05,1,1,2,1,2,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
を考えて,1.35214861896884e-05,2,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
もいいですね,1.33615811707728e-05,0,1,1,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
は良いですね,1.33473231786982e-05,1,5,1,1,1,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
も含めて,1.32378363014349e-05,1,1,1,1,0,0,0,0,2,3,2,0,0,0,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
には満足しています,1.32127058784711e-05,0,12,1,1,1,1,1,3,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0
が悪いので,1.3198676301872e-05,1,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
があります,1.31443139732084e-05,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,22,0,0,0,0,0,0,1,1,2,0,2,1,0,0,1,1,0
は気に入っています,1.31285391524545e-05,1,5,1,1,0,0,2,0,0,1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
が良いのか,1.30964104572547e-05,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は満足しています,1.28583719933584e-05,0,8,1,1,2,0,0,3,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
は思いますが,1.23239783414971e-05,0,7,0,3,2,1,2,0,0,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0
をします,1.2302116945322e-05,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も高く,1.20132470375474e-05,0,0,0,0,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
が良くなりました,1.17867922329823e-05,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
で満足しています,1.17338554852099e-05,0,8,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,1,0,3,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,2,0,0
が高く,1.17113218197202e-05,0,0,0,1,0,0,1,0,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1
が良いとは,1.15007789943691e-05,0,2,2,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
で決めました,1.14005765568523e-05,1,0,0,2,1,1,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は満足です,1.13421845248407e-05,0,7,1,2,2,0,1,2,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
はあり,1.11932528217659e-05,0,8,0,1,0,0,2,2,0,1,5,0,0,0,5,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0
という点では,1.11778854717336e-05,0,2,2,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
も良いですね,1.11485656886709e-05,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
もある,1.11177514617201e-05,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
がよいと,1.11050742157886e-05,0,0,1,1,1,0,3,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を重視して,1.09802661370222e-05,2,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいい,1.07937376817282e-05,1,3,0,2,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いです,1.07600717036787e-05,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
は悪くないです,1.06327481019863e-05,0,0,3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
に満足しています,1.03218087748474e-05,0,4,1,1,0,1,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,2
もありますが,1.02045318310727e-05,0,1,1,2,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0
にある,1.00824787615452e-05,0,3,0,1,0,0,0,2,0,1,0,0,0,0,6,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,8,3
はよい,9.9396824272197e-06,1,4,1,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は最高だと,9.828253983017e-06,1,1,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が好きです,9.74817295858802e-06,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
も気に入っています,9.74441858873419e-06,0,3,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1,0,0,0,0,1,0,0,0,0,1
は高いです,9.64737163195236e-06,0,0,0,1,0,0,1,0,4,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
がなる,9.6207013425682e-06,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
がありません,9.58281359778725e-06,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
は感じます,9.435777984497e-06,0,8,0,2,1,0,1,1,0,2,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0
も良くて,9.32552690208839e-06,0,4,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
