"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,質感,コストパフォーマンス,デザイン,気持ち,評判,レスポンス,発色,レンズ,描写,性能,色乗り,不満,相性,天気,感触,精度,色のり,もち,ホールド性,価格,出来,感じ,質,視認性,カメラ,感度,ヌケ,色,機能,大きさ,液晶,重さ,切れ,値段,重量バランス,描写力,操作感,ボケ味,画像,反応,AF,バッテリー,補正,解像度,ボケ,コントラスト,位置,取り回し,ホールド,条件,音,問題
の高い,6.73089680357316e-05,2,0,0,0,0,0,0,0,5,36,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0
が良いので,6.31132851159684e-05,2,5,3,2,2,1,3,1,0,0,2,0,6,1,1,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
はいいと,6.28702977432895e-05,4,11,3,9,0,0,0,2,2,1,6,0,0,0,0,3,0,3,0,0,2,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
はいいです,5.48010790116047e-05,0,11,3,4,1,10,2,7,5,1,3,0,0,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,1,2,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
は良い,5.3501059598148e-05,2,7,1,2,4,3,7,3,0,0,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
が高い,5.25346283965491e-05,2,0,0,3,0,1,1,0,9,14,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,9,0,0,1,0,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,1,0,6,0,5,0,0,0,0,0,0
が悪いと,5.19689399714677e-05,4,4,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,0
もいいです,4.88591696588307e-05,0,9,1,3,6,1,3,0,5,0,3,0,0,1,1,0,1,0,0,0,2,0,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0
は良く,4.87464496391465e-05,3,7,1,2,2,4,1,2,0,0,0,0,1,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
が悪く,4.85591194028477e-05,2,0,1,0,6,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0
のとれた,4.79457724787467e-05,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,4.54727768407157e-05,1,10,1,8,4,1,1,2,6,0,2,0,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
がいいと,4.38207209465959e-05,4,1,3,0,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
を考えれば,4.08917863172765e-05,5,2,0,1,0,3,1,2,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,12,1,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いです,4.05983172515954e-05,2,4,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
もいい,3.95062854605561e-05,2,4,1,5,0,0,3,3,0,1,2,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,1,0,0,0
がいいので,3.72669790484487e-05,0,1,1,2,6,5,1,2,0,1,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
の悪い,3.69558290112732e-05,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
は最高です,3.59018382644826e-05,0,7,2,1,1,1,0,4,4,9,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
もありません,3.50756479980083e-05,0,6,1,1,0,1,5,8,0,0,1,0,0,0,1,1,0,0,0,15,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,2,1,1,0,0,0,0,1,0,3,1,0,1,1,2,0,0,0,0,0,0,0,0,21
に優れた,3.4660637862742e-05,0,1,0,2,0,5,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くて,3.37933977253839e-05,1,2,1,0,2,1,1,2,1,0,0,0,0,1,0,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は抜群です,3.3051305818321e-05,1,1,0,6,1,17,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,3.24868443532413e-05,3,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
がよいです,3.06309168226948e-05,0,0,5,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好です,3.022582241879e-05,0,2,1,3,1,0,2,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,3.01427701675913e-05,0,2,0,3,2,2,3,1,4,0,5,0,0,0,1,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,2,1,2,0,0,0,0,0,0,0,1,0,0,4,1,0,1,1,1,0,0,0,0,0
はいいですね,2.99973279203525e-05,2,2,0,1,2,0,0,4,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0
がいいですね,2.88519516560557e-05,1,1,4,1,0,0,0,0,2,0,4,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
があり,2.81665194050434e-05,0,1,0,1,0,0,2,0,4,0,0,1,0,0,1,5,0,0,0,14,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,10,1,0,4,4,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,2,2
が感じます,2.77169055662465e-05,3,0,1,0,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
は悪いです,2.73769673692959e-05,1,3,0,3,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0
になります,2.66094466504658e-05,1,5,0,0,0,0,0,3,0,0,1,2,0,0,3,3,7,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,3,0,0,5,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
はありませんが,2.61316010150368e-05,0,4,0,1,1,7,2,0,1,0,2,0,0,0,0,2,0,1,0,26,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,1,0,1,0,0,0,0,0,1,0,3,1,9,1,0,0,0,0,0,0,0,8
も満足しています,2.50497488364435e-05,1,11,0,2,1,0,2,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0
が良くない,2.47799584396095e-05,1,1,1,1,5,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
はありますが,2.47147857980468e-05,0,9,0,3,1,0,0,1,3,0,4,0,0,0,0,2,1,0,0,17,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,4,1,1,4,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,1,0,1,6
はあります,2.44073654249711e-05,0,6,0,1,0,1,3,1,6,0,2,0,0,0,0,4,5,3,0,4,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,2,1,2,0,0,0,4,0,0,2,0,3,0,2,0,2,0,0,0,0,0,0,1
は高いと,2.40904651047442e-05,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はします,2.38442271273256e-05,1,7,0,0,2,0,3,2,1,0,3,0,0,0,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,2,0
があります,2.34018618407093e-05,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,22,0,0,1,1,0,0,0,0,0,5,1,0,0,0,0,0,2,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,4
のある,2.26462588665685e-05,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,0,0,4,0,2,0,0,0,0,7,2,0,0,0,0,0,0,0,2
もなく,2.2513221336949e-05,1,5,1,2,1,1,0,0,1,0,0,0,0,0,2,1,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,12
は良いのですが,2.22540441541549e-05,0,4,0,4,1,5,3,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
をする,2.16504476474355e-05,0,2,0,0,0,0,0,18,0,0,0,0,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
はよいです,2.15290634094371e-05,1,2,0,4,3,3,2,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も悪くなく,2.13674293022133e-05,1,3,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えて,2.12027361706067e-05,2,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
にありません,2.06876799096282e-05,0,3,1,3,1,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
といい,2.04516571876115e-05,0,3,0,1,0,1,2,0,4,1,1,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよいと,1.94846036715781e-05,1,1,1,0,1,2,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いですね,1.93377917038181e-05,1,5,1,1,2,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
も高く,1.93149662063391e-05,0,0,0,0,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0
もいいですね,1.92944138506584e-05,0,1,1,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
が悪いので,1.92525249829568e-05,1,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
は悪くないと,1.92212795107644e-05,1,1,2,1,1,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
には満足しています,1.92192305748286e-05,0,12,1,1,1,1,1,3,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
は気に入っています,1.90041868101803e-05,1,5,1,1,0,0,2,0,1,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
も含めて,1.87827185521861e-05,1,1,1,1,0,0,0,0,3,2,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足しています,1.86309531973822e-05,0,8,1,1,0,2,0,3,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
は思いますが,1.80764997029047e-05,0,7,0,3,1,2,2,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が良いのか,1.80749497832575e-05,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
をします,1.78843456322799e-05,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高く,1.74455046057009e-05,0,0,0,1,0,0,1,0,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0
にある,1.69585783861552e-05,0,3,0,1,0,0,0,2,1,0,0,0,0,0,0,6,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0
はあり,1.67982552604615e-05,0,8,0,1,0,0,2,2,1,0,5,0,0,0,1,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
で満足しています,1.66856545448047e-05,0,8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,3,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くなりました,1.64067093278935e-05,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いとは,1.63816549734896e-05,0,2,2,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足です,1.63802239323418e-05,0,7,1,2,0,2,1,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
で決めました,1.62028756110158e-05,1,0,0,2,1,1,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いですね,1.61348176537155e-05,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
