"",weight,バランス,画質,使い勝手,コストパフォーマンス,満足度,操作性,携帯性,持ち,ホールド感,質感,写り,デザイン,完成度,気持ち,評判,レスポンス,レンズ,性能,解像度,描写,発色,価格,精度,不満,コントラスト,色乗り,使用頻度,評価,値段,相性,感触,天気,色のり,満足感,ホールド性,質,もち,感じ,感度,解像感,視認性,機能,出来,カメラ,描写力,液晶,大きさ,バッテリー,重さ,ヌケ,色,切れ,補正,CP,ボケ味,AF,画像,重量バランス,操作感,ボケ,反応,AF精度,位置,機能性,問題,音,取り回し,ホールド,色合い,お買い得感
は良いと,5.39981314809997e-05,8,19,5,8,0,10,12,8,4,4,5,11,0,0,0,1,2,3,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,3,0,0,0,1,1,0
が良いです,4.94968947165359e-05,7,6,15,0,0,4,5,7,2,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,2,1,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
は高いと,4.75029039424081e-05,0,0,0,24,10,0,0,0,0,2,0,0,7,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
はありません,4.51550561149083e-05,0,18,4,0,1,11,11,9,9,2,6,0,0,1,0,1,8,1,2,4,1,0,1,158,0,0,1,0,0,1,2,0,0,0,1,0,0,6,0,0,0,4,0,6,2,1,2,9,1,0,0,0,1,0,1,6,3,0,0,0,0,1,0,1,36,0,0,1,0,0
がいいです,4.20621109124522e-05,3,6,12,0,0,3,1,6,1,1,1,0,0,9,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0
もよく,4.02983985587343e-05,5,11,4,1,0,5,6,6,5,2,1,1,0,0,0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,1,2,0
を考えると,3.97289585195544e-05,8,2,4,10,0,3,3,0,0,0,0,0,0,0,0,0,0,12,0,1,0,45,0,0,0,0,1,0,27,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,8,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
がいい,3.71183276888422e-05,4,9,1,1,0,1,1,10,1,4,5,1,0,9,3,1,1,2,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
が良いと,3.48676352740609e-05,9,13,6,2,0,2,1,2,1,1,2,1,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
に優れた,3.2059172124575e-05,0,1,0,33,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のよい,3.16237547127481e-05,6,1,5,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は思います,3.07404557996892e-05,0,28,1,2,1,11,12,0,4,2,4,11,0,0,0,0,6,4,1,5,2,3,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,1,1,1,3,0,5,0,3,1,0,1,0,3,0,2,2,1,0,0,0,0,1,0,1,1,0,0,0,3,1
も良いと,3.03873917073876e-05,11,6,1,2,0,6,2,1,0,3,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0
がよく,2.97378490880845e-05,5,1,5,0,0,3,0,1,1,1,0,1,0,1,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0
がよい,2.84161683278127e-05,3,1,6,3,0,2,3,6,0,1,0,1,0,2,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0
が高いです,2.73652511948943e-05,1,0,0,4,16,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,4,2,2,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いです,2.67135175429118e-05,4,5,1,0,0,9,2,5,4,2,0,2,0,0,0,0,0,0,0,3,4,0,1,0,0,2,0,0,0,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
は良好です,2.39143764844253e-05,3,2,5,0,0,6,3,0,9,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
の取れた,2.34595157564459e-05,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,2.29790177999778e-05,4,11,3,1,0,9,0,0,0,2,2,6,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
が良いので,2.25520887459716e-05,2,5,3,0,0,2,1,2,3,0,1,2,0,0,6,1,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は最高です,2.19668801771527e-05,0,7,2,9,3,1,1,1,0,4,4,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0
が高く,2.18117357676186e-05,0,0,0,4,2,1,0,0,1,6,0,0,4,0,0,0,0,1,8,0,0,1,0,0,1,0,2,4,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
はいいです,2.10437105989282e-05,0,11,3,1,0,4,10,1,2,5,7,3,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,0,2,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
は高い,2.00799132252793e-05,0,0,0,2,13,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
は良い,1.90545798886701e-05,2,7,1,0,0,2,3,4,7,0,3,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
を考えれば,1.85224484442196e-05,5,2,0,3,0,1,3,0,1,0,2,0,0,0,0,0,0,5,0,0,0,27,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いと,1.81238438636184e-05,0,0,0,6,3,0,1,0,0,2,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
が悪いと,1.80637547597092e-05,4,4,1,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
も高く,1.79473229057864e-05,0,0,0,4,0,0,1,0,0,4,1,0,3,0,0,0,0,0,7,0,0,2,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良く,1.78064408855842e-05,3,7,1,0,0,2,4,2,1,0,2,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
もいいです,1.77440599994886e-05,0,9,1,0,0,3,1,6,3,5,0,3,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,2,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
が悪く,1.73759553333812e-05,2,0,1,0,0,0,2,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0
も良い,1.69844923768694e-05,1,10,1,0,0,8,1,4,1,6,2,2,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0
のとれた,1.65085481249064e-05,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があります,1.6319336237915e-05,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,1,22,0,0,0,1,0,0,1,0,0,10,0,1,0,5,0,4,0,2,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,4,0,0,1,0,2
が高いので,1.52086704576947e-05,0,0,0,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,0,2,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
がいいと,1.51029286239282e-05,4,1,3,0,0,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
もいい,1.48663080945011e-05,2,4,1,1,0,5,0,0,3,0,3,2,0,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,2,0,0,0,1,0,0,0,1,1,0
はしました,1.45801192063629e-05,0,3,0,0,11,5,4,0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
もありません,1.45169090373319e-05,0,6,1,0,0,1,1,0,5,0,8,1,1,0,0,0,1,0,0,0,1,0,1,15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,1,1,1,1,1,0,0,0,0,2,0,3,1,1,0,0,0,0,1,0,0,21,0,0,0,0,0
が悪いです,1.42079861044921e-05,2,4,2,0,0,2,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があり,1.39246078970838e-05,0,1,0,0,0,1,0,0,2,4,0,0,1,1,0,0,5,0,1,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,10,1,1,0,0,1,0,4,0,0,4,1,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0
がいいので,1.38159141346601e-05,0,1,1,1,0,2,5,6,1,0,2,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
はあります,1.31397395753808e-05,0,6,0,0,0,1,1,0,3,6,1,2,1,0,0,0,4,3,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,1,0,3,4,1,2,0,2,0,0,0,2,0,0,3,2,0,0,2,0,0,0,0,1,0,0,0,1,0
は感じです,1.31003943253647e-05,0,2,0,0,0,3,2,2,3,4,1,5,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,2,0,0,0,2,1,4,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
は抜群です,1.29797795560842e-05,1,1,0,2,0,6,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の悪い,1.2828809059929e-05,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
はいいですね,1.26240127862002e-05,2,2,0,3,0,1,0,2,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
のある,1.2391670659001e-05,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,4,0,1,0,1,0,0,7,7,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2
が良くて,1.18445057668551e-05,1,2,1,0,0,0,1,2,1,1,2,0,0,0,0,1,1,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,1.16274048944758e-05,3,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
は高く,1.10378586196022e-05,0,2,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はします,1.09627510181213e-05,1,7,0,0,2,0,0,2,3,1,2,3,0,0,0,0,6,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,1,0
はありますが,1.09150992727881e-05,0,9,0,0,1,3,0,1,0,3,1,4,0,0,0,0,2,0,1,1,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,4,0,1,0,1,1,1,4,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,6,1,0,1,2,0
も良好です,1.08472653152774e-05,0,2,1,0,0,3,0,1,2,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
がよいです,1.06301304530269e-05,0,0,5,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありませんが,1.0426320752746e-05,0,4,0,0,0,1,7,1,2,1,0,2,0,0,0,0,2,1,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,1,0,1,1,1,0,0,0,1,9,0,0,3,1,0,0,0,0,0,0,2,8,0,0,0,0,0
は5です,1.03967151281072e-05,0,1,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,1.02048051188837e-05,1,1,4,0,0,1,0,0,0,2,0,4,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
になります,9.95245404204868e-06,1,5,0,0,0,0,0,0,0,0,3,1,0,2,0,0,3,0,0,7,3,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3,0,0,1,0,0,0,5,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0
が感じます,9.9513815905148e-06,3,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
は最高だと,9.56830982823571e-06,1,1,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪いです,9.51467297715747e-06,1,3,0,0,0,3,5,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
も満足しています,9.3706220912996e-06,1,11,0,0,0,2,0,1,2,1,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0
は満点です,9.19140353274656e-06,0,0,0,0,10,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
も高い,9.07758759112031e-06,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
といい,9.06328016366702e-06,0,3,0,1,0,1,1,0,2,4,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
もなく,8.65094783126582e-06,1,5,1,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,12,1,0,0,1,0
も含めて,8.60040045703198e-06,1,1,1,2,0,1,0,0,0,3,0,2,0,0,0,0,2,0,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
もいいですね,8.55015688581316e-06,0,1,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
はよいと,8.39421608241349e-06,1,1,1,2,0,0,2,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
