"",weight,の高い,は高いです,が高い,は高いと,が高いです,に優れた,の良い,が良い,は高い,が高いと,を考えると,が高く,は良いと,は良いです,は最高です,は5です,はしました,も高く,があります,が高いので,も良く,は思います,はありません,は高く,は満点です,が良く,を考えれば,も高い,が悪い,のある,はあります,はしましたが,は最高だと,があり,もよく,が良いです,がいい,がある,がよい,も良いと,をしました,はあると,がいいです,が良いと,が低い,は高いですね,があると,は最高ですね,は5と,はいいです,の強い,に優れていると,は抜群,を持った,に優れている,は大満足です,も良いです,はいいと,から考えると,はいいですね,はします,も良い,で言えば,は抜群だと,が多い,が高かった,は感じです,のよい,もありません,はありますが,は抜群です,も高いので,は素晴らしいです,がよく,が良いので,といい,はものです,を含め,をしたのは,も高いです,は低いです,は良好です,が素晴らしい,もいいですね,がいいので,も含めて,もいい,は5ですが,は高いですが,もいいです,が得られる,は良く,はよいと,もあり,はありませんが,は良い,を考えたら,でいえば,は4と,を上げる
操作性,0.00116261457421856,0,1,3,0,0,2,4,4,0,0,3,1,10,6,1,0,5,0,0,0,12,11,11,0,2,8,1,0,6,0,1,0,0,1,5,4,1,0,2,6,3,0,3,2,0,0,0,0,0,4,0,1,0,0,0,0,9,9,0,1,0,8,0,0,0,0,3,0,1,3,6,0,0,3,2,1,2,0,5,0,0,6,1,0,2,1,5,0,0,3,0,2,0,0,1,2,0,0,0,0
バランス,0.00109523109366041,2,0,2,0,1,0,20,14,0,0,8,0,8,5,0,0,0,0,0,0,6,0,0,0,0,10,5,0,6,0,0,0,1,0,5,7,4,0,3,11,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,1,1,0,0,0,0,0,6,0,0,1,0,0,5,2,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,3,1,0,0,2,1,0,0,0
価格,0.0010466337160318,0,1,9,3,1,0,0,0,0,2,45,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,0,0
コントラスト,0.000998710136530904,11,0,5,0,0,0,1,1,1,0,0,1,0,0,0,0,0,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
満足感,0.000902284309331968,7,6,3,0,3,0,0,0,3,0,0,1,0,0,1,0,0,0,10,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
値段,0.000897981723105315,1,1,9,0,2,0,0,0,0,1,27,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,17,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,7,1,0,0,0,0,0,0,5,0,0,0
使い勝手,0.000830749143189602,0,0,0,0,0,0,12,17,0,0,4,0,5,10,2,0,0,0,1,0,4,1,4,0,0,10,0,0,7,0,0,0,0,0,4,15,1,0,6,1,0,0,12,6,0,0,0,1,0,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,5,3,0,0,0,0,0,0,5,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0
性能,0.000706598497321495,1,1,2,2,0,0,5,2,0,1,12,1,3,0,0,0,0,0,2,0,3,4,1,1,0,0,5,0,0,0,3,0,0,0,0,0,2,1,4,0,0,1,0,1,3,0,4,0,0,0,0,0,0,5,0,6,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ホールド感,0.000680282865754819,0,1,1,0,0,0,3,3,0,0,0,1,4,14,0,0,2,0,1,0,6,4,9,0,1,5,1,0,5,0,3,2,0,2,5,2,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,3,0,5,0,4,0,0,1,3,2,0,0,0,0,0,9,0,0,1,0,3,0,0,3,0,1,1,1,2,7,0,0,2,0
精度,0.000668857512697796,1,1,4,0,1,0,2,2,2,0,0,0,2,1,0,0,0,3,1,3,1,0,1,3,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
写り,0.000613368905091478,0,0,0,0,0,0,7,4,0,0,0,0,5,4,4,0,0,1,0,0,4,4,6,0,0,4,2,0,2,0,1,1,1,0,1,1,5,0,0,2,2,0,1,2,0,0,0,0,0,7,0,0,1,1,0,4,0,2,0,4,2,2,0,0,0,0,1,1,8,1,0,0,1,0,1,0,3,0,0,0,0,1,0,0,2,0,3,0,0,0,0,2,2,0,0,3,0,0,0,0
デザイン,0.00061118826729879,0,0,0,0,0,0,1,7,0,0,0,0,11,2,2,1,1,0,0,0,7,11,0,1,1,3,0,0,0,1,2,0,1,0,1,2,1,0,1,4,0,5,0,1,0,0,0,1,0,3,0,0,0,0,0,0,2,6,0,0,3,2,0,0,0,0,5,0,1,4,0,0,0,1,2,1,0,2,0,0,0,1,0,0,0,2,2,0,0,3,0,0,3,0,2,2,0,0,0,0
解像感,0.000594693344450146,1,0,2,2,2,0,0,0,1,1,0,2,1,1,0,0,0,0,4,0,2,0,0,1,0,0,0,3,1,6,2,0,0,8,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
CP,0.000517085919806863,4,1,1,1,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持ち,0.000511783588858791,0,0,0,0,0,0,0,22,0,0,0,0,6,5,1,0,0,0,0,0,0,0,7,0,0,0,0,0,30,0,0,0,0,0,0,4,9,1,6,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,0,1,3,0,0,1,0
レンズ,0.0004689335991971,0,1,0,1,0,0,5,1,1,0,0,0,2,10,0,0,2,0,0,0,1,6,8,0,0,1,0,0,1,0,4,0,0,5,0,0,1,5,0,0,0,4,0,2,0,0,2,1,0,4,0,0,0,1,0,1,0,3,0,1,6,1,0,0,1,0,1,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,3,0,0,0,0,1,0,0,2,1,0,1,1,0
お買い得感,0.000444635439928096,2,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能性,0.000379941946540769,0,0,1,0,0,0,0,0,0,0,1,1,3,3,1,0,4,0,0,0,0,1,1,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,3,0
汎用性,0.000375467846422321,2,0,1,1,2,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能,0.000375204206211913,0,1,0,0,0,1,0,3,0,0,8,0,1,0,2,0,0,0,2,0,0,1,4,0,0,0,12,0,1,1,1,0,0,10,0,0,1,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,2,0,0,1,0,0,5,0,2,0,2,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0,2,0,0,0
レベル,0.000360696538557689,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評判,0.000341516174979582,3,0,0,0,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
不満,0.000330718620267675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,158,0,0,0,0,0,0,2,4,0,0,14,0,0,0,16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0
描写,0.000316253722518276,0,1,0,0,0,1,2,0,0,0,1,0,0,5,1,0,0,0,0,0,6,5,4,0,0,1,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,4,3,0,0,0,1,0,0,0,0
カメラ,0.000315094643298729,0,0,1,1,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,6,0,1,0,0,0,0,0,3,1,0,1,0,0,0,2,0,0,0,1,0,1,0,1,2,0,0,3,0,0,0,3,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
描写力,0.000299819629900305,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2,1,0,2,1,0,0,0,1,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
表現力,0.000277534107443023,0,0,0,0,0,1,0,0,0,0,3,0,1,3,1,0,2,0,0,0,1,3,0,0,1,1,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
機動性,0.000269606280863646,2,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
価値,0.000262327390350277,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,13,7,0,0,0,0,0,0,7,0,0,0,22,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,0.000259959921239451,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,9,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利便性,0.000258832588868031,2,0,1,1,0,0,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感度,0.00025463640592066,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
画素数,0.000252017610154759,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
質,0.000232524828268727,2,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,0.000230122015755985,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,3,2,1,0,0,3,0,1,2,0,0,0,0,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
趣味性,0.000219311551605557,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,0.000216692102792756,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
総合評価,0.00021156236759386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
効果,0.000210623168205098,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
レスポンス,0.000204995981679581,0,0,0,0,0,0,2,8,0,0,0,0,1,1,0,0,0,0,0,0,6,0,1,0,0,6,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
基本性能,0.000203827589129405,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
良さ,0.000203664382527901,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,5,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
頻度,0.000200505120593915,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
率,0.000199488240850646,1,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,0.000183874457828371,0,0,0,0,0,0,1,1,1,0,0,0,2,7,1,0,2,0,1,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
補正,0.000179409843225597,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,7,2,0,0,1,0,0,1,5,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,9,0,0,0,0,0
信頼性,0.000176240266866089,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
