result,評価項目,評価表現,評判情報
"",画質,は十分,画質は小さな光学系でこの写りなら十分。
"",画質,もよく,画質もよく、撮るのが楽しくなりますね。
"",画質,はそこそこですが,画質はそこそこですがこの種のデジカメは画質より携帯性重視でしょうから、とても良いカメラだと思います。
"",画質,は感じません,画質は画素数の割には、あまり緻密さは感じません。
"",画質,は充分です,画質はソニー800万画素機としては充分です。
"",画質,は感じました,画質は、以前の機種が500万だったのでとても良く感じました。
"",画質,は悪くない,画質は悪くない方だと思いますが、機能面としてやはり絞り/SS(シャッタースピード)優先モードは搭載して欲しかったです。
"",画質,は文句なしです,画質は文句なしです。
"",画質,はあります,画質は、さすがのHDVで、以前使用していたDVカメラ(現在はサブ機)IXYDVS1と比べると、圧倒的にHC1の方が精細感があります。
"",画質,は良いのですが,画質は良いのですが機能性でフェーダー操作でオーバーラップが付いていないとアフレコ機能が付いていないのが残念です後レンズフードのデザインをを考えて見ては如何でしょうか。
"",画質,が悪くなる,暗いところでの撮影では、画質が極端に悪くなる。
"",画質,は満足,この価格でこの絵作り、画質は大変満足。
"",画質,は素晴らしい,しかも画質は文句なしに素晴らしい。
"",画質,はいいです,レンズも優秀、APS-Cサイズ1030万画素のCMOSも優秀で画質は非常にいいです。
"",画質,はあります,特に風景撮影における画質はすばらしいものがあります。
"",画質,がすばらしい,○まず何よりも画質がすばらしい。
"",画質,が良いと,デジタル一眼は画質が良いと言われますが、高価なレンズを使えば・・・という条件付きです。
"",画質,もよく,画質もよく、なによりタッチパネル操作が魅力的です。
"",画質,も比較して,画質もCanonと比較してこちらにしました。
"",画質,が悪いです,また、画質がほんとうに悪いです。
"",画質,もよく,手に入れた良品は画質もよく、とても2万円のデジカメとは思えないくらいです。
"",画質,はあり,画質は液晶の画素数が少ないこともあり、パソコンで見てみましたがまずまずで、現在使っているIXY900ISとも遜色ないレベル。
"",画質,はいいのですが,確かに画質はcanonのほうがいいのですが、パソコンとの関連、操作性を考えてコレに決めました。
"",画質,は思います,画質は、まあ満足のいくレベルだと思います
"",画質,もならない,価格も画質も当時とは比較にならないお買い得感です。
"",画質,は落ちますが,画質はデジタル放送の映像に比べるとやはり家庭機は落ちますが、家庭使用ならば問題なしだと思います。
"",画質,は十分,画質は家庭用としては必要にして十分。
"",画質,は感じ,画質は期待が大きかった分だけ肩透かしを食らった感じ。
"",画質,もいいので,キャノンの800isも持っていますが、W50はスペックは低いものの気軽に扱え画質もなかなかいいので、普段持ち歩いているのはW50です。
"",画質,はいいです,カメラ機能ですが、画質はいいです。
"",画質,も良く,画質も良く、特に暗いところ、室内でも明るい!
"",画質,はなりません,液晶が大きく老人でも見やすいし、画質は他の機種とは比べ物になりません。
"",画質,はいいと,画質は1/1.7型のCCDとバリオ・テッサーレンズのおかげか、かなりいいと思います。
"",画質,も良好です,室内で、オートで撮影する時もISOは160前後のため画質も良好です。
"",画質,はレベルです,画質はややコントラストが低い程度で私にとっては不満のないレベルです。
"",画質,は落ちますが,リンクプレイヤーを持ってるので、画質は落ちますがTVでプレーヤーから見れるようにMPEG2に変換するのも簡単に出来ました。
"",画質,も十分です,画質も一般の記録映像としては十分です。
"",画質,が良いと,静止画も、PCでみてると葉書サイズなら気にならないくらい、画質が良いと思います。
"",画質,は思います,画質は語るべきカメラじゃないと思います。
"",画質,は好きです,画質は色の出方が、鮮やかでしっとりみたいな感じで、自分的には好きです。
"",画質,も良く,画質も良く、価格が手ごろ。
"",画質,が良くなります,まだ体育館でしか撮ったことがありませんが、ホワイトバランスを手動で設定してやると、さらに画質が良くなります。
"",画質,が良いと,まず、ハイビジョンだから無条件に画質が良いと感じるのはメーカーの策略に陥っている証拠です。
"",画質,は満足です,小さいし、42のプラズマで見ても画質は満足です。
"",画質,がいまいち,明るいところでの画質がいまいち。
"",画質,がいまいち,×暗いレンズなので室内での画質がいまいち
"",画質,のよい,画質のよいカメラが他にもありました。
"",画質,も良いです,前に使っていたのは古かったせいもあるかもしれませんが、かなり使いやすくて画質も良いです。
"",画質,は最高です,年末にこの液晶テレビの購入もするので、今は綺麗かどうかの判断は出来ないのですが、価格も84500円のポイント15繻ォ付きだったので、アクセサリー関係も全て込みで、116000円で買いました、安かったのもとても魅力でした、画質は最高です。
"",画質,は最高です,それにしても、画質は最高です。
"",画質,が悪すぎる,しかし、静止画の画質が悪すぎる。
"",画質,が良いです,一般カメラと比べると画質が全然良いです。
"",画質,もよく,高コントラストで非常に画質もよく、エンジン「ビオンズ」が非常に良く効いている。
"",画質,が向上し,今までのサイバーショットと比較して、グンと画質が向上し、カスタム性も良いW200。
"",画質,も良くて,コンパクト、画面が大きく綺麗、スタイルがいい室内は一眼レフで撮れるので、持ち歩き用として購入しましたが、画質もそこそこ良くて、室内でも思っていたよりはきれいに撮影できました。
"",画質,はいいです,画質は絵づくりも含めてとてもバランスがいいです。
"",画質,は良いです,画質は、確かに四隅の解像度は良いとはいえませんが、IXY900ISの四隅流れよりは、全然良いです。
"",画質,は文句なし,画質は順光なら文句なし。
"",画質,はいい,やはり画質はいい。
"",画質,の悪い,それに昔の画質の悪い記録映画でもそれなりに雰囲気まで感じて不満無く見ていますものね。
"",画質,も満足しています,タッチパネルも使い勝手がよく、DVDへのダイレクト書き込みや、PCへの取り込みも予想以上に早く、画質も予想以上でかなり満足しています。
"",画質,もいいですし,画質もいいですし、留900の次の新製品を見通して使っていこうと考えています。
"",画質,は良いと,画質はとても良いと思います。
"",画質,は問題なし,画質は全く問題なし。
"",画質,は良いのですが,留-7Dは画質は良いのですが、レスポンスは良くありませんでした。
"",画質,もありません,画質も申し分ありません。
"",画質,には満足です,5前に使っていたデジカメがかなり古い機種ということもあり、画質には満足です。
"",画質,は良く,画質は非常に良く、満足しています。
"",画質,も悪くなく,画質も悪くなく、ノイズもフジフィルム商品を除けば出ない部類に入ります。
"",画質,が悪くなる,・光学ズームを使うと画質が悪くなる
"",画質,もデザインも,画質もデザインも素晴しく、満足度の高い商品と言えます。
"",画質,は良い,画質はそれほど良い。
"",画質,は良いと,ISOに関していえば、高感度域での画質はファインピクスが良いと思います。
"",画質,もなく,画質も高感度で今のところ室内でも問題なく使用できました。
"",画質,もないです,音は思ったより拾ってくれるし、画質も不満な点はないです
"",画質,は思います,音質にこだわる、画質は必要充分でOK、使い勝手を重視、なら、とてもよい商品だと思います。
"",画質,は良いと,画質は、わたしはとても良いと思いました。
"",画質,が良いので,HD1AはHDサイズで撮影し42インチのプラズマTVで見ていますが最初に見た時は画質が良いのでちょとビックリしました、このサイズのMPEGムービーでここまで撮れちゃうなんて感動ものです。
"",画質,も十分,とにかく携帯性ピカイチ、画質も十分。
"",画質,を求める,所有ステイタスを望んでいる方、画質を求める方、情報の受信者で情報をこねくりまわしているだけの評論家の方は、他メーカーも含めて他の選択肢がいいでしょう。
"",画質,を求める,▽画質についてこのクラスのカメラにハイビジョンカメラとしての画質を求めることは酷なのかもしれませんが、SONYの家庭用のHDVやAVCHD機と比較しても画質に劣るように思います。
"",画質,が低い,液晶は画質が低いこと．
"",画質,はないですが,夜の静止画がノイジーでかなり画質に不満(すべてオートでの状態)フラッシュの届く範囲が非常に短い--静止画に関して日中の明るい時の画質は申し分ないですが、夜は全くダメです。
"",画質,が劣る,●携帯性が良ければ、画質が劣ることは少々は目をつぶれると思っていましたが、家族の意見を聞き、後世に残すデータなので、画質に関して手を抜くことはできないと思い始めています。
"",画質,は劣りますが,押すときにカメラが動くことが多い(編集でカットすれば問題ないが)DVカメラより画質は劣りますが、許容範囲内です。
"",画質,が欲しい,コンパクトでハイビジョンのような高画質はいらないけどそこそこの画質が欲しい人向けのカメラです。
"",画質,と思います,7，画質は動画機としては色々ありますが，配布する永久保存版でない限り，このサイズでこの価格で誰でも扱いやすい操作+暗所性能から，十分に満足出来る画質と思います。
"",画質,で満足しています,日中・外出先で撮影した映像はどれも「HD」の肩書き通り木目細かい画質で満足しています。
"",画質,は感じた,・写真の画質は、デフォルトでは少しハードで輪郭強調が効き過ぎ気味(少し前の200万画素のデジカメのよう)に感じた。
"",画質,は綺麗です,画質は28インチブラウン管テレビでは十分綺麗です。
"",画質,にある,画質に不満のある人は32インチ液晶以上で見ているのでしょう。
"",画質,はあります,静止画の画質は少し暗い印象があります。
"",画質,が悪いと,静止画のテレ端は画質が悪いと覚悟すべきです(動画では問題ありませんが)。
"",画質,はします,液晶は大きくて見やすいですが、画質はあまりよくない気がします。
"",画質,がよければ,もっと画質がよければ文句ないのですが・・。
"",画質,は良いとは,動画も記録時間を重視したのか、画質は良いとはいえません。
"",画質,は劣りますが,画質はビデオカメラには劣りますが記録を残すの十分だと思います。
"",画質,は劣りますが,画質は他の機種と比べて劣りますが、ちょっと持って出かけるのには最高です。
"",画質,はいいのですが,画質はいいのですが、僕のパソコンがまだその高画質に対応してないのが困りました。
"",画質,は良く,画質は良く、後で見た最に撮って良かったと思いました。
"",画質,を求めて,CG6、HD2と使い、さらに綺麗な画質を求めて、HD1000へと到達しました。
"",画質,はもので,画質はこんな小さな気軽なもので、こんな映像が楽しめるとはと感心するばかりです。
"",画質,が良いと,購入時の対抗馬として、好きなブランドであるpanaとも比較しましたが、私的にHD1000をチョイスして良かったなと思っていますそして圧倒的に画質が良いと思いました。
"",画質,が綺麗,画質が綺麗。
"",画質,が優れている,竭「静止画の画質が優れている。
"",画質,があり,この機種に何を求めるかによって評価は別れると思うのですが、手軽に動画も静止画も撮影できてそこそこの画質があり、現時点で扱いに苦慮するfullHDデータはXactiライブラリが魅力的です。
"",画質,がイマイチ,・やはり、ハイビジョン時代では画質がイマイチ。
"",画質,には満足です,この画質には満足です。
"",画質,があるので,光量によって画質がかなり差があるので、快晴の中で撮影したいが、この液晶だけは評価できない。
"",画質,も良好で,60f/secの画質も良好でスローモーション再生がきれい。
"",画質,は方だと,なのに、このクラスでは、かなり画質は良い方だと思います。
"",画質,は思う,画質は満足、価格を考慮すれば、全般的には良いカメラと思う。
"",画質,もいい,値段が値段だけに期待してませんでしが、見た目も画質もいい感じでした。
"",画質,はそこそこですが,画質はそこそこですがテレビで見るには問題ないレベルです。
"",画質,もありません,まずボディの大きさ相応に液晶画面が大きく、画質も申し分ありません。
"",画質,が良い,画質がとても良い。
"",画質,も悪くないと,動画もズームでき画質も悪くないと感じました。
"",画質,も良いです,画質も、FZ7と違って発色も良く解像感も良いです。
"",画質,は良好,画質は今時のコンデジの中では比較的良好。
"",画質,がよくなった,今までは銀塩に固執していましたが、旅行に一眼レフを持って行けない(妻の荷物持ち&見た目が悪いと言われる)ので、今まではGR1sオンリーでしたが、コンパクトデジカメの画質がよくなったことを機に購入したのです。
"",画質,はよく,画質は予想以上によく、発色も自分好み。
"",画質,が良く,キャノンGシリーズより750Zの方が画質が良く、今も手放せません。
"",画質,は上です,その結果、750Zの方が画質は上です。
"",画質,が良いとは,沢山撮ってみての一番の感想が、画質が良いとは言えないことです。
"",画質,は思います,画質は、趣味や記録で使うなら充分だと思います。
"",画質,は今ひとつ,仕事で貴金属の撮影があるのですが、試しにFX50で取ってみると画質は今ひとつ。
"",画質,や機能は,画質や機能は満足しています。
"",画質,は落ちますが,画質は落ちますが、最大60倍ズームになるのは圧巻。
"",画質,はいい,画素が限定されるがデジタルズームよりは画質はいい。
"",画質,は良いです,まだ使いこなせて無い感はありますが、画質はかなり良いです。
"",画質,をして,そういう時には画質をヴィヴィットにして調整しています。
"",画質,はきれいです,画質は液晶画面、プラズマTV共にとてもきれいです。
"",画質,に感じる,カタログのスペックだけを見ると、いい機種なんです28mmですし、いろいろ便利そうな機能入ってますしただ、ちょっとした使い勝手や画質にどうも不満を感じることがあります
"",画質,は思います,画質はライカレンズということに多くを期待しなければ不満を覚えることは少ないと思います。
"",画質,が落ちる,△画質ズーム、特にEZズームを使用すると画質が急激に落ちる気がします。
"",画質,になる,デジタル補正がされたような妙に鮮やかな画質になるデジカメもどうかと思いますし、むしろこちらの方が自然で、必要であれば勉強して各種設定を極めるなり、画像ソフトで補正するなりすべきなのでしょうね。
"",画質,が悪すぎです,高感度の画質が悪すぎです。
"",画質,は知れませんが,画質は確かに暗い場所ではノイズは多いかも知れませんが、私としては高感度撮影でのっぺりとした画像になるくらいならノイズの方が許せます。
"",画質,は良く,それよりも、屋外の明るい場所での画質はとても良く、得意分野を生かす使い方が良いと思います。
"",画質,が悪いのは,唯一の−は、一眼じゃないが重い外部、ストロボを装備すると1kg越えるあたりこの値段では画質が悪いのは仕方ないと思う。
"",画質,は感じですが,動画の画質はあまり代わり映えしないような感じですが、小さくなって携帯性がかなり向上しております。
"",画質,がいいので,・使いづらい部分もいくつかありますが、画質がいいのでとても気に入っています。
"",画質,はいいです,でも3CCDの恩恵なのか、屋外での画質はとてもいいです。
"",画質,が悪くなり,明るいところでは非常に綺麗な絵ですが室内程度の暗さで途端に画質が悪くなりがっかりしました。
"",画質,も悪くない,画質も悪くない無いので、初めての方にお勧めです。
"",画質,がよくて,デジタルカメラに使っていますが画質がよくて、サイズが大きいと150枚ぐらいしか入りません読み出し10MB/s。
"",画質,も大満足です,また画質も良く大満足です。
"",画質,はありません,画質は申し分ありません。
"",画質,はところです,4G+8Gでバッテリー3本を持ち歩いていますがこれだけあればそうそう切れることも無く満足しています全体的には悪くないと思いますがHDDにミラーして常に2重バックアップしていますのでそこそこコストがかかるのは痛いですねそれを承知で購入したのですがやっぱりHDDに保存しとくのは怖いですね画質はブロックノイズが出やすいことを除けば概ね満足です再生環境がほしいところです。
"",画質,は普通,画質は普通。
"",画質,はしました,画質は若干ノイズが目立つ感じがしました。
"",画質,は好きです,でも画質はIXY-D400の方が好きです。
"",画質,が悪いと,DVD映画を観て画質が悪いと感じる方以外は、十分に満足できるものだと思います。
"",画質,も十分です,超高画質を求めてはいないので、画質も十分です。
"",画質,も良いです,画質も、思っていたよりずっと良いです。
"",画質,も十分,画質も十分。
"",画質,が悪いので,ただ室内や夜は高感度が画質が悪いのであまり使えませんね。
"",画質,はなりますが,また画質は高感度がやはり気になりますが、ISOを低めに設定すれば個人的には満足している画質なのと、この価格帯のものと(私は安めに購入できたので尚更ですが)比べたら、良いと思ったので評価を『5』にしました。
"",画質,が良い,・操作性が俊敏・明るいところでの画質が良い。
"",画質,も悪くないと,画質も悪くないと思いますよ(銀塩とは別ものですね)。
"",画質,は思う,画質は、風景もそこそこに写るし、重たい一眼レフを持って歩くリスクを考えれば、この程度の描写力なら十分だと思う。
"",画質,も満足しています,連写では子供のドリブルシーンから相手を抜きシュートにいたるまで、4コマ漫画のように撮ることが出来、非常に面白いし、画質も大変満足しています。
"",画質,はありませんが,明るい所での画質は問題ありませんが暗いシーンでのノイズの多さ、出方が気になります。
"",画質,は素晴らしいと,ISO100の画質は、解像感・クリアさともに素晴らしいと思います。
"",画質,はありますが,画質はパナらしいノイジーな部分もありますが、所有した歴代FZの中では低感度高感度共に一番良いです。
"",画質,は感じですが,画質はノイズ処理がかなりされている様で少し平板な感じですが、パット見キレイには見えますがそこは好みの問題かなと思います。
"",画質,は最高ですね,やはりデジタルハイビジョンの画質はパナソニックが最高ですね。
"",画質,は文句なしです,・まず画質は文句なしです。
"",画質,は良いです,デザインが綺麗だし、画質は良いです。
"",画質,は素晴らしい,・画質:ISO50〜100での画質は素晴らしい。
"",画質,が得られます,L版プリントで充分な画質が得られます。
"",画質,は思います,素人目での判断になりますが、操作性や画質はほとんど問題なく、商品の特徴である、コンパクトさや軽量さはほかのメーカーに比べて満足できると思います。
"",画質,には満足しています,しかし、画質に拘ると言っても業務用の型担ぎのHDカムではないので、この価格でこの画質には満足しています。
"",画質,が悪くなる,ただ、暗めのところではかなり画質が悪くなる感じがします(発光禁止の場合)。
"",画質,も良いし,動画はおまけ程度に考えていましたが、意外に画質も良いし、マイクもかなり音拾ってくれてますので重宝しています。
"",画質,もよく,画質もよく、A3プリントにも十分に対応します。
"",画質,もありません,もちろん画質も問題ありません。
"",画質,も悪く,もう現行品ではないですが当時、一番手ごろな値段ということで、購入、大きさ輪いいのですが、デジカメの画質の悪さ、光学ズームでないので、ズームしたときの画質も悪く、不満です。
"",画質,を求めるのは,コンデジでこの値段でこれ以上の画質を求めるのは無理でしょう。
"",画質,は綺麗です,画質はSD画質としては問題なしに綺麗です。
"",画質,は劣りますが,画質はDVにわずかに劣りますが、私に取っては十分合格レベル。
"",画質,がなりますが,印刷版下にするので画質が問題になりますが、オフセット印刷程度ならば、十分に使用に耐える品質です。
"",画質,は良かったです,画質は期待した程度に良かったです。
"",画質,が落ちる,竭。10倍ズーム以上だと画質がかなり落ちる
"",画質,はものです,サイズ的には、手のひらにスッポリ収まり、価格的にも4万円台であること、画質は3CCD搭載の3メガタイプで、動画も静止画も満足のいくものです。
"",画質,の良い,とにかく携帯性の良いカメラでなおかつ画質の良い安いカメラを…と思って購入したわけですが、GS300はまさに望み通りでした。
"",画質,もあり,画質も3CCDということもあり、この価格帯ではかなり良い方だと思います。
"",画質,は思います,しかし、散々指摘されているように、高感度での画質はもうひとつと思います。
"",画質,はものです,確かに室内等の暗い場面では、書込みの通りノイズも目立つし、ベッタリとした感じが否めませんが、室外やフラッシュ発光での画質は充分満足のいくものです。
"",画質,もよく,画質もよく、バッテリーの持ちがいいので携帯してますよ
"",画質,はします,「画質」___望遠側の画質は惚れ惚れします。
"",画質,が悪くなる,あえて挙げるなら、室内等、少し暗い場所で撮影すると、画質が一気に悪くなる点でしょうか。
"",画質,も満足です,画質も満足です。
"",画質,は悪いです,画素数は大きいのですが、画質は悪いです。
"",画質,は普通,画質はまぁ、普通。
"",画質,は落ちますが,勿論、DVなどに比べると画質は落ちますが、何より使い勝手がとても良いです。
"",画質,というか,画質というか、発色に特徴があります。
"",画質,が良い,◎新開発のLiveMOSセンサーの画質がなかなか良い。
"",画質,はなるが,細かい画質は今からのチェックになるが。
"",画質,は思います,画質は、素晴らしいと思います。
"",画質,は大満足です,画質は大満足です。
"",画質,で満足しています,予想以上の性能を操作性と画質で満足しています。
"",画質,は劣りますが,もちろん画質は劣りますが、それよりも少しでも多くの写真を撮って家族の思い出を増やしてください。
"",画質,が気に入っています,コンパクトで静止画動画とも画質が良く大変気に入っています。
"",画質,は満足です,画質は、オリンパス特有のこってり感があって、満足です。
"",画質,もいいし,画質もいいし、軽くて持ち運びも便利です。
"",画質,は文句なし,画質は文句なし。
"",画質,も良いと,それに画質も自分は良いと思っています。
"",画質,がないと,何台もカメラを所有しているが、このカメラほど画質が素晴らしいカメラはないと思う。
"",画質,が悪すぎる,具体的には画質が悪すぎる
"",画質,もよく,作りがしっかりしていて、色合いも、画質もよく、使えば使うほど愛着が湧いてくる、とっても魅力的なカメラだと思います。
"",画質,を求めるなら,万能レンズという感じで、高品位の画質を求めるなら目的別で別のレンズを持つ方が良いかと思います。
"",画質,が良くなった,・RAWの画質が良くなった(付属ソフトでノイズフィルタをOFFにするとノイズが多いものの凄い緻密な画像が得られる)
"",画質,が良く,コストパフォーマンスを追求した機種でありながら、画質が良く、操作性も評価できる。
"",画質,が落ちる,室内など光量が不十分だと極端に画質が落ちる。
"",画質,はきれいです,画質はかなりきれいです。
"",画質,はところです,画質は中の中と言ったところです。
"",画質,はそこそこですが,画質はそこそこですが、パソコンで保存や加工を考えると、これぐらいがいいのかも知れません。
"",画質,が悪いと,前のデジカメ(X−200)と比較すると画素数は倍以上あるににも関わらず画質が見た目に悪いと思いました。
"",画質,もいいので,実際に使ってみましたただ電池が入れにくいような気がしますがとてもよかったです手ブレ補正が無いのが難点と思いましたが、液晶も大きく、画質もいいのですごくいい機種だと思います。
"",画質,も思います,画質も、見たままの自然な色合いで細部までくっきりした画が好みの方には、低感度・高感度ともに最良の部類に入るのではないかと思います。
"",画質,については思います,画質については、ズームしなけば、同価格帯の他の機種と遜色ないと思います。
"",画質,を求めるなら,画質を求めるならもっと大きなレンズで、大きなCCDで、めちゃめちゃ高い画像処理エンジンを積んでいる重い&デカい機種を買います
"",画質,はないです,画質は文句ないです。
"",画質,は最高だと,そういう面を差し引いてもズームと画質は最高だと思います。
"",画質,がよければ,液晶画面と画質がもう少しよければ螳檎挑でした。
"",画質,は文句なしです,画質は文句なしです。
"",画質,はありません,画質は月刊誌に書かれているほど悪い印象はありません。
"",画質,には満足しています,他機種との画質の比較をしたわけではないのですが、画質には満足しています。
"",画質,が比較して,何より高感度時の画質が旧Eシリーズと比較して改善されてるのがいいですね。
"",画質,は持てます,適度にコンパクトでメリハリの効いた画質は、好感が持てます。
"",画質,が良くなりました,"E1,E300,E500と使ってきましたが、画質はJPEGの画質が良くなりました。"
"",画質,がいいです,またオリンパスはかなり前からですがJPEGの圧縮率が低く、JPEG保存時の画質がかなりいいです。
"",画質,はいいと,画質はいいと思いますしオリンパスは好きなので、最終的には購入してよかったと思います。
"",画質,という点では,しかしながら高倍率ズームにしては画質はいい方かも知れませんが、純粋に画質という点ではやはり平凡。
"",画質,で満足しています,遅まきながら購入して撮ってみると、期待以上の画質で満足しています。
"",画質,を求める,このレンズよりさらに良い画質を求める時には、このレンズの最大の長所である利便性を犠牲にしなければならないわけです。
"",画質,を求めるのは,高倍率ズームにしては、他との比較上とてもいいレンズだと思いますが、画質を求めるのは無理がありますね。
"",画質,になります,さすがに絞り開放だとパープルフリンジが出る事がありますが、F2くらいから素人目には十分な画質になります。
"",画質,が違う,やっぱり単焦点いいねD40と組み合わせで使ってるけど画質がキットレンズと次元が違う。
"",画質,も良く,画質もとても良く、5年前から使っているサイバーショットがあり、当時は満足していましたが、P5100と比べると眠いような(良くいうとマイルドな)印象を受けます。
"",画質,も満足です,画質も満足です。
"",画質,は優れていると,しかし、こうした点を除いてもトータルでの画質はGRDigitalよりも優れていると判断しており、先日、海外に旅行に行った際も出番はP5100の方が多かったです。
"",画質,は綺麗です,画質はコンデジとは思えないほど綺麗です。
"",画質,もいいと,画質もいいと思います。
"",画質,も良いですが,"シーンモードの画質もとても良いですが、M,A,S,Pモードの切り替えもダイアル式で一眼レフぽく、使いこなす楽しみもあるカメラです。"
"",画質,はなりません,画質は、申し分無いです高感度での撮影でもISO800までなら、僕の目ではノイズは気になりません。
"",画質,は満足しています,発色も自分好みで画質は良く満足しています。
"",画質,は満足しています,画質は夜景以外は満足しています。
"",画質,には満足しています,お店でプリントすると、PCで見るよりかなり綺麗に撮れていますので、画質には満足しています。
"",画質,になります,画質がD40の方が良いのではと思いましたが、カスタムでいろいろ変えてみると、結構満足な画質になります。
"",画質,は素晴らしいです,画質は最高です(特にマクロにしたら極め細かい所まで撮れます)風景や人物を撮るのに本当に素晴らしいです。
"",画質,もものです,画質もやはりコンデジとは全然別物で満足できるものです
"",画質,はなりません,画質は、上位機種に多少劣るも全く気になりません。
"",画質,はすばらしいです,今まで、コンパクトデジカメやら携帯デジカメやらを使ってきましたが、今までの写真は一体なんだったんだ…という位、D40の画質はすばらしいです。
"",画質,は問題なし,画質は問題なし、画素数も610万画素ということで、1Gのカードで十分。
"",画質,は十分です,画質は必要十分です。
"",画質,も満足しています,特に写真マニアではないので画質も十分満足しています。
"",画質,はあります,とのことで、画質は3点としてあります。
"",画質,が良すぎて,画質が良すぎて減点と言うことはありませんが、ここまできれいだといっそ1000万画素程度に画素数を抑えて、より高感度撮影時のノイズが少なければ・・・と思ってしまいます。
"",画質,もいいですね,画質もいいですね。
"",画質,は満足,もちろんカメラから出る画質は満足。
"",画質,は優れています,・JPEGの画質はD80に比べて階調やノイズという点ではるかに優れています。
"",画質,が良いと,ノイズ除去「する」と「しない」とで比較してみましたが、ISO800以上はノイズ除去したほうが断然画質が良いと感じました。
"",画質,を求めるなら,これ以上の画質を求めるなら古サイズしかないね!
"",画質,はありません,D300のデザインはカメラとしてもmonoとしても近年最高の作品だと思います画質は申し分ありません。
"",画質,もいいです,総合的に表面加工も質が良く、画質もいいです、解像度不満なし、12-24mmほしいが、純正の値段お考えるという場はい、コストパフォーマンス高いです。
"",画質,も良好で,画質も良好で、広角表現好みにさせられてしまいそう。
"",画質,はすばらしい,画質は予想以上にすばらしい。
