"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,気持ち,デザイン,質感,評判,レスポンス,コストパフォーマンス,発色,レンズ,性能,描写,色乗り,天気,相性,色のり,ホールド性,精度,出来,感触,価格,質,もち,視認性,ヌケ,切れ,色,感じ,値段,反応,重さ,重量バランス,感度,カメラ
をします,3.2305629979236e-06,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は思いますが,3.16891213582146e-06,0,7,0,3,1,2,2,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
はありませんが,3.16173003433086e-06,0,4,0,1,1,7,2,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
はありますが,3.1158899047873e-06,0,9,0,3,1,0,0,1,0,4,3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,1
で決めました,3.05431028430407e-06,1,0,0,2,1,1,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
も良いですね,3.05396666439842e-06,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
が良いとは,3.03307882982363e-06,0,2,2,0,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もある,3.03272631212464e-06,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
があります,3.02587659185151e-06,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,2,0,0,0
を重視して,3.02499399441364e-06,2,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
で満足しています,3.00296426287393e-06,0,8,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,1,3,1,0,0,0,0,2
のある,2.95591861317531e-06,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0
はいい,2.95093858523772e-06,1,3,0,2,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
という点では,2.91159618692641e-06,0,2,2,4,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足です,2.84248374838733e-06,0,7,1,2,0,2,1,2,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪くないです,2.81221551325115e-06,0,0,3,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
がよいと,2.78899610181372e-06,0,0,1,1,0,1,3,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
はあり,2.77081539506573e-06,0,8,0,1,0,0,2,2,0,5,1,0,0,0,1,5,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
がなる,2.75132156522195e-06,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1
がありません,2.71846882498672e-06,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよい,2.71468186831397e-06,1,4,1,1,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が取れた,2.69992731415175e-06,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が好きです,2.68069079409115e-06,1,0,0,1,0,0,0,0,0,6,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0
が高いです,2.60443024651204e-06,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0
もありますが,2.592341270462e-06,0,1,1,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,3
も高く,2.58033675549742e-06,0,0,0,0,0,1,0,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
も良くて,2.52214787802375e-06,0,4,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
に満足しています,2.49079557001204e-06,0,4,1,1,1,0,0,2,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
が良かったので,2.46255743322614e-06,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
も気に入っています,2.46104510964097e-06,0,3,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0
もいいし,2.42258489755855e-06,0,2,1,0,0,4,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
がよいので,2.3905817003036e-06,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
は悪い,2.37994719635008e-06,0,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
が高く,2.36225115515545e-06,0,0,0,1,0,0,1,0,0,0,6,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0
も思います,2.35820190158774e-06,0,5,1,3,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
は感じます,2.34050510656458e-06,0,8,0,2,0,1,1,1,0,5,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
が悪くなる,2.33563016391924e-06,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのが,2.30996539598966e-06,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
は最高だと,2.28340399459069e-06,1,1,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は落ちますが,2.27796414818924e-06,0,5,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
は最高,2.26671141768816e-06,0,1,1,1,1,1,2,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいですし,2.21799263062394e-06,1,4,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
もよいです,2.20676765754421e-06,1,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は高いです,2.19731680733356e-06,0,0,0,1,0,0,1,0,0,0,2,0,0,4,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
は感じました,2.16747640998772e-06,0,2,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
が取れていると,2.1599418513214e-06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はしました,2.12977673507763e-06,0,3,0,5,0,4,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
も良いし,2.11604964551591e-06,0,2,0,1,3,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は問題なし,2.11078206903162e-06,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいと,2.09765184472681e-06,0,2,0,1,0,1,2,1,0,5,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えたら,2.09063679445172e-06,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0
も良いですし,2.08115937929757e-06,0,1,2,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いし,2.08030594811012e-06,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は方だと,2.04512355106308e-06,0,2,0,0,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
は良いようです,2.03767806826869e-06,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
は劣りますが,2.02498921246515e-06,0,7,0,2,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はものです,2.024430163973e-06,0,11,0,2,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
にはあります,2.01933188058365e-06,0,3,1,2,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
