"",weight,バランス,画質,使い勝手,操作性,コストパフォーマンス,携帯性,持ち,満足度,ホールド感,質感,写り,デザイン,気持ち,完成度,評判,レスポンス,レンズ,性能,描写,発色,解像度,不満,精度,価格,色乗り,コントラスト,相性,使用頻度,評価,値段,感触,天気,色のり,ホールド性,もち,質,感じ,感度,視認性,出来,満足感,カメラ,機能,解像感,描写力,液晶,大きさ,ヌケ,重さ,バッテリー,色,切れ,補正,ボケ味,画像,重量バランス,操作感,AF,反応,ボケ,位置,問題,AF精度,機能性,CP,音,取り回し,ホールド,色合い,条件
があります,2.53079515972209e-05,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,22,1,0,0,0,0,0,1,0,1,0,0,0,0,1,5,0,0,0,10,0,2,4,0,1,0,0,2,0,0,1,0,0,1,0,1,0,0,1,1,4,0,0,0,0,0,1,0,1
があり,2.50993937671097e-05,0,1,0,1,0,0,0,0,2,4,0,0,1,1,0,0,5,0,0,1,1,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,10,8,0,0,1,0,4,0,0,4,1,0,0,0,0,1,0,2,0,2,0,0,0,2,0,0,0,0
の悪い,2.45091633617473e-05,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
が高いので,2.4181082176923e-05,0,0,0,0,2,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,0,2,0,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
は感じです,2.38156405831264e-05,0,2,0,3,0,2,2,0,3,4,1,5,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,2,1,0,2,1,0,0,4,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
は抜群です,2.37605606782425e-05,1,1,0,6,2,17,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はしました,2.36448452566498e-05,0,3,0,5,0,4,0,11,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
はあります,2.31952983084178e-05,0,6,0,1,0,1,0,0,3,6,1,2,0,1,0,0,4,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,1,2,4,1,2,0,2,0,0,0,2,0,2,0,0,3,0,2,0,1,0,0,0,0,0,0,1,0
はいいですね,2.27325541671676e-05,2,2,0,1,3,0,2,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
が良くて,2.22878070917733e-05,1,2,1,0,0,1,2,0,1,1,2,0,0,0,0,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,2.17752815613572e-05,3,0,0,1,0,1,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
も良好です,2.0340567862722e-05,0,2,1,3,0,0,1,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいです,2.00141619945646e-05,0,0,5,1,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありますが,1.99802276297172e-05,0,9,0,3,0,0,1,1,0,3,1,4,0,0,0,0,2,0,1,0,1,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,4,1,0,1,1,0,4,1,0,0,0,1,0,0,0,2,0,1,0,6,0,1,0,1,0,1,2,0
はします,1.98302896452572e-05,1,7,0,0,0,0,2,2,3,1,2,3,0,0,0,0,6,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,1,0
はありませんが,1.93890677825757e-05,0,4,0,1,0,7,1,0,2,1,0,2,0,0,0,0,2,1,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,1,0,1,1,0,0,1,0,1,9,0,1,0,0,3,0,0,0,8,0,2,0,0,0,0,0,0
がいいですね,1.91635634733382e-05,1,1,4,1,0,0,0,0,0,2,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のある,1.87900173944676e-05,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,4,0,1,0,1,0,0,7,7,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
が感じます,1.85936900156989e-05,3,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
になります,1.8586111590757e-05,1,5,0,0,0,0,0,0,0,0,3,1,2,0,0,0,3,0,7,3,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,22,0,0,0,0,3,0,0,0,0,1,0,0,0,5,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
は悪いです,1.79118523975973e-05,1,3,0,3,0,5,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
は高く,1.75448860856274e-05,0,2,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,1,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,1.74759718302497e-05,1,11,0,2,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0
といい,1.64584329778113e-05,0,3,0,1,1,1,0,0,2,4,0,1,0,0,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
もなく,1.61282566721046e-05,1,5,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,12,0,0,0,1,0,0,1,0
が良くない,1.58765096012186e-05,1,1,1,1,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は最高だと,1.57397316173569e-05,1,1,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は5です,1.56341641968296e-05,0,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も含めて,1.5378446682944e-05,1,1,1,1,2,0,0,0,0,3,0,2,0,0,0,0,2,0,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
は良いのですが,1.53321407517758e-05,0,4,0,4,0,5,1,0,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
もいいですね,1.52285971153039e-05,0,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
はよいと,1.51030513550675e-05,1,1,1,0,2,2,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
