"",weight,の高い,は高いです,が高い,は高いと,が高いです,の良い,に優れた,が良い,を考えると,は高い,が高いと,が高く,は良いと,は良いです,は最高です,も高く,も良く,があります,は5です,はしました,はありません,が高いので,が良く,は思います,が悪い,は高く,は満点です,を考えれば,が良いです,もよく,も高い,のある,がいい,がいいです,も良いと,があり,がよい,が良いと,は最高だと,はあります,はしましたが,がある,はあると,はいいです,をしました,が低い,も良いです,は高いですね,のよい,はいいと,は最高ですね,があると,がよく,も良い,は5と,に優れていると,の強い,に優れている,はいいですね,もありません,は感じです,が良いので,はします,は良好です,から考えると,は抜群です,は大満足です,は抜群だと,はありますが,で言えば,が多い,が高かった,は素晴らしいです,を持った,は良く,の取れた,は抜群,といい,もいいです,も高いので,がいいので,もいい,はものです,を含め,は良い,もいいですね,をしたのは,も高いです,が悪く,が悪いと,も含めて,は低いです,が素晴らしい,はありませんが,はよいと,が得られる,は高いですが,は5ですが,は思いますが,を考えたら
使用頻度,0.00150640241336804,10,2,11,0,4,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
解像度,0.00150254593345653,5,2,6,0,2,0,0,1,0,0,0,8,0,1,0,7,1,0,0,1,2,2,0,1,1,4,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0
価格,0.00134604002855086,0,1,9,3,1,0,0,0,45,0,2,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,27,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,5
使い勝手,0.0013164930957281,0,0,0,0,0,12,0,17,4,0,0,0,5,10,2,0,4,1,0,0,4,0,10,1,7,0,0,0,15,4,0,0,1,12,1,0,6,6,0,0,0,0,0,3,0,0,1,0,5,3,1,0,5,1,0,0,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
コントラスト,0.00124770043526635,11,0,5,0,0,1,0,1,0,1,0,1,0,0,0,5,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
値段,0.00114943762337256,1,1,9,0,2,0,0,0,27,0,1,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,5
満足感,0.00112991733064553,7,6,3,0,3,0,0,0,0,3,0,1,0,0,1,0,0,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
ホールド感,0.001004339889544,0,1,1,0,0,3,0,3,0,0,0,1,4,14,0,0,6,1,0,2,9,0,5,4,5,0,1,1,2,5,0,0,1,1,0,2,0,1,0,3,2,0,0,2,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,5,3,3,3,9,0,4,0,0,0,0,0,0,0,0,1,0,0,2,3,0,1,3,0,0,7,0,0,0,3,0,0,0,0,2,1,0,0,0,2,0
性能,0.000935948771455638,1,1,2,2,0,5,0,2,12,0,1,1,3,0,0,0,3,2,0,0,1,0,0,4,0,1,0,5,0,0,0,0,2,0,0,0,4,1,0,3,0,1,1,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,1,1,0,1,0,6,0,0,0,0,0,2,5,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
持ち,0.000896035953792289,0,0,0,0,0,0,0,22,0,0,0,0,6,5,1,0,0,0,0,0,7,0,0,0,30,0,0,0,4,0,0,0,9,1,0,0,6,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,2,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,3,0,0,0,6,5,0,0,0,1,1,0,0,0,1,0
写り,0.000890038272603041,0,0,0,0,0,7,0,4,0,0,0,0,5,4,4,1,4,0,0,0,6,0,4,4,2,0,0,2,1,1,0,0,5,1,2,0,0,2,1,1,1,0,0,7,2,0,0,0,1,2,0,0,0,2,0,0,0,0,4,8,1,1,2,1,0,0,4,0,1,0,0,0,1,1,2,0,1,0,0,0,2,3,3,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
デザイン,0.000888443610535486,0,0,0,0,0,1,0,7,0,0,0,0,11,2,2,0,7,0,1,1,0,0,3,11,0,1,1,0,2,1,0,1,1,0,4,0,1,1,1,2,0,0,5,3,0,0,2,0,0,6,1,0,1,2,0,0,0,0,0,1,5,2,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,2,0,2,2,0,0,0,0,0,2,0,0,2,3,0,0,0,3,0
精度,0.000871492382302928,1,1,4,0,1,2,0,2,0,2,0,0,2,1,0,3,1,1,0,0,1,3,2,0,2,3,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
解像感,0.000769177759956319,1,0,2,2,2,0,0,0,0,1,1,2,1,1,0,0,2,4,0,0,0,0,0,0,1,1,0,0,0,1,3,6,0,0,1,8,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
CP,0.000655286235948242,4,1,1,1,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,0.000624981792548707,0,1,0,1,0,5,0,1,0,1,0,0,2,10,0,0,1,0,0,2,8,0,1,6,1,0,0,0,0,0,0,0,1,0,0,5,0,2,0,4,0,5,4,4,0,0,0,0,0,3,1,2,0,1,0,0,0,0,1,1,1,0,6,0,0,0,1,0,2,0,1,0,0,1,1,0,0,1,0,0,0,3,1,1,1,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0
お買い得感,0.000556721220355248,2,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能,0.000491903148542035,0,1,0,0,0,0,1,3,8,0,0,0,1,0,2,0,0,2,0,0,4,0,0,1,1,0,0,12,0,0,0,1,1,0,0,10,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,0,0,2,0,1,0,4,0,5,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,2
評判,0.000489808711910347,3,0,0,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汎用性,0.000476403600680082,2,0,1,1,2,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能性,0.000472806982060081,0,0,1,0,0,0,0,0,1,0,0,1,3,3,1,0,0,0,0,4,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,2,1,0,0,0,3,0
不満,0.000465330733998255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,158,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
レベル,0.000453063291441774,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写,0.000448376748726011,0,1,0,0,0,2,1,0,1,0,0,0,0,5,1,0,6,0,0,0,4,0,1,5,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0
カメラ,0.000424059536603399,0,0,1,1,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,6,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,1,2,1,3,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0
気持ち,0.000413014567672876,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,9,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,0.000395212214894348,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
表現力,0.00035690654965332,0,0,0,0,0,0,1,0,3,0,0,0,1,3,1,0,1,0,0,2,0,0,1,3,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
発色,0.000348822811504484,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,3,0,0,0,1,0,3,2,2,0,0,0,0,6,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
機動性,0.000343678433787612,2,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,0.000335602240704744,0,0,0,0,0,2,0,8,0,0,0,0,1,1,0,0,6,0,0,0,1,0,6,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
価値,0.00033364168376408,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,7,0,7,22,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質,0.000333235731235244,2,1,1,0,0,4,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
利便性,0.000333097187612904,2,0,1,1,0,2,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画素数,0.000315123091536621,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
感度,0.000314623987482648,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
AF精度,0.000286772938364339,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
趣味性,0.000275990219945262,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
効果,0.000266609723014908,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
液晶,0.000263682472608954,0,0,0,0,0,1,0,1,0,1,0,0,2,7,1,0,0,1,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
基本性能,0.000256581053185278,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
良さ,0.000256102401955061,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
色乗り,0.000255397044807771,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,1,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
頻度,0.000251943587846282,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
率,0.000251419596853544,1,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相性,0.000247473442776298,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
総合評価,0.000244371911459481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
