"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,質感,デザイン,コストパフォーマンス,気持ち,レスポンス,評判,発色,レンズ,描写,性能,不満,色乗り,相性,感触,もち,精度,色のり,ホールド性,天気,価格,感じ,質,視認性,出来,色,感度,カメラ,大きさ,機能,液晶,重さ,ヌケ,ボケ味,重量バランス,操作感,描写力,バッテリー,画像,AF,切れ,補正,値段,反応,解像度,位置,ボケ,ホールド,コントラスト,取り回し,問題,音,条件
がいいです,0.00175835876568633,3,6,12,3,6,1,1,1,1,0,0,9,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,2,0
もよく,0.00163874837776307,5,11,4,5,6,6,5,1,2,1,1,0,0,0,6,0,0,0,0,3,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
がいい,0.00152510564815047,4,9,1,1,10,1,1,5,4,1,1,9,1,3,3,1,1,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
が良いと,0.00141105186064485,9,13,6,2,2,1,1,2,1,1,2,0,0,0,0,2,4,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
のよい,0.00129853537929232,6,1,5,0,0,0,0,1,0,0,0,3,0,3,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
を考えると,0.00124921183845216,8,2,4,3,0,3,0,0,0,0,10,0,0,0,0,0,1,12,0,0,0,1,1,0,0,0,0,45,0,0,0,0,0,0,0,8,8,0,1,0,0,1,0,1,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0
がよく,0.00124226490781881,5,1,5,3,1,0,1,0,1,1,0,1,4,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
も良いと,0.00117055028576201,11,6,1,6,1,2,0,2,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
がよい,0.00111372761748736,3,1,6,2,6,3,0,0,1,1,3,2,0,0,0,0,0,4,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1
も良いです,0.00110662954814691,4,5,1,9,5,2,4,0,2,2,0,0,0,0,4,0,3,0,0,2,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
は思います,0.00107333570391032,0,28,1,11,0,12,4,4,2,11,2,0,0,0,2,6,5,4,0,1,0,0,0,0,0,1,0,3,0,0,1,1,1,1,3,0,1,5,1,0,2,0,0,0,3,1,2,0,3,2,0,1,0,0,0,0,0,1,0,0
は良好です,0.0010115811306579,3,2,5,6,0,3,9,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の取れた,0.000970667356684911,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の高い,0.000927733886675022,2,0,0,0,0,0,0,0,5,0,36,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,11,0,0,0,0
はいいと,0.00092187144360721,4,11,3,9,0,0,0,2,2,6,1,0,0,0,0,3,0,3,0,0,2,0,2,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
が良いので,0.000915351919529749,2,5,3,2,2,1,3,1,0,2,0,0,1,6,1,0,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
はいいです,0.000812715523032893,0,11,3,4,1,10,2,7,5,3,1,0,0,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
は良い,0.000790099860169067,2,7,1,2,4,3,7,3,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
が悪いと,0.000756234519665062,4,4,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2
が高い,0.000746883285326831,2,0,0,3,0,1,1,0,9,0,14,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,6,0,0,0,5,0,0,0,0
もいいです,0.000738811253072957,0,9,1,3,6,1,3,0,5,3,0,0,1,0,1,0,1,0,0,0,2,3,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2,0,3,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
は良く,0.000715929029748623,3,7,1,2,2,4,1,2,0,0,0,0,1,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0
が悪く,0.000711775191113211,2,0,1,0,6,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0
のとれた,0.000683062213963456,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,0.000677403890523966,1,10,1,8,4,1,1,2,6,2,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
がいいと,0.000636913196835783,4,1,3,0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
が悪いです,0.000607726482724518,2,4,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
を考えれば,0.000583845838060511,5,2,0,1,0,3,1,2,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0
もいい,0.000576209772633104,2,4,1,5,0,0,3,3,0,2,1,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0
がいいので,0.000550230217467937,0,1,1,2,6,5,1,2,0,0,1,1,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
もありません,0.000529967974696993,0,6,1,1,0,1,5,8,0,1,0,0,0,0,1,1,0,0,15,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,2,1,0,0,3,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,21,0,0
は最高です,0.000520754526797125,0,7,2,1,1,1,0,4,4,2,9,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
の悪い,0.000513400798514764,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
が良くて,0.000496197602932413,1,2,1,0,2,1,1,2,1,0,0,0,1,0,0,1,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は抜群です,0.000489035314536719,1,1,0,6,1,17,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,0.000479921682281683,3,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
に優れた,0.000474409403129374,0,1,0,2,0,5,0,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,0.000452358177816217,0,2,0,3,2,2,3,1,4,5,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,1,2,2,0,0,0,0,0,0,4,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
も良好です,0.000451691628518171,0,2,1,3,1,0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいです,0.000446208474576809,0,0,5,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいですね,0.00043998315097957,2,2,0,1,2,0,0,4,1,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
がいいですね,0.00042231011532518,1,1,4,1,0,0,0,0,2,4,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があり,0.000412004301566826,0,1,0,1,0,0,2,0,4,0,0,1,0,0,1,5,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,10,0,4,0,0,0,0,0,0,0,1,4,1,0,0,1,0,2,0,1,0,2,2,0
は悪いです,0.00041047126694026,1,3,0,3,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
が感じます,0.000405189339277863,3,0,1,0,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
はありませんが,0.000396894585650201,0,4,0,1,1,7,2,0,1,2,0,0,0,0,0,2,0,1,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,0,1,1,3,1,9,0,0,1,0,0,0,0,0,8,0,0
になります,0.000390957376310718,1,5,0,0,0,0,0,3,0,1,0,2,0,0,3,3,7,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,5,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
はありますが,0.0003750353027134,0,9,0,3,1,0,0,1,3,4,0,0,0,0,0,2,1,0,17,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,1,4,1,4,0,1,0,0,0,1,0,2,0,0,0,0,1,0,1,1,0,0,6,1,0
も満足しています,0.000371469173988192,1,11,0,2,1,0,2,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
が良くない,0.000368472315298112,1,1,1,1,5,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
はあります,0.000365973456300556,0,6,0,1,0,1,3,1,6,2,0,0,0,0,0,4,5,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,1,1,2,0,0,0,0,4,0,2,3,0,2,0,0,0,0,2,0,0,0,1,0,0
はします,0.000355680382064402,1,7,0,0,2,0,3,2,1,3,0,0,0,0,2,6,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0
があります,0.00035036006015054,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,22,0,0,1,0,1,0,0,0,0,5,1,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,4,0,1
もなく,0.000336248933402426,1,5,1,2,1,1,0,0,1,0,0,0,0,0,2,1,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,12,1,0
は良いのですが,0.000333794146847331,0,4,0,4,1,5,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
のある,0.00032741011244102,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,4,0,0,0,7,7,0,0,2,0,0,0,0,0,2,0,0
は高いと,0.000326399208773563,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
をする,0.000321342706390068,0,2,0,0,0,0,0,18,0,0,0,0,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
はよいです,0.000320984264217676,1,2,0,4,3,3,2,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も悪くなく,0.000314672938921691,1,3,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にありません,0.000309257759711709,0,3,1,3,1,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えて,0.000306408196613027,2,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
といい,0.000302187432473343,0,3,0,1,0,1,2,0,4,1,1,0,0,0,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が悪いので,0.000288639985753717,1,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
には満足しています,0.000287142746220895,0,12,1,1,1,1,1,3,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
は良いですね,0.000285088067326527,1,5,1,1,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
はよいと,0.000283756462277302,1,1,1,0,1,2,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪くないと,0.000282755519162867,1,1,2,1,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいですね,0.000281437690712616,0,1,1,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
は気に入っています,0.00028101721513307,1,5,1,1,0,0,2,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
も高く,0.000277652592765122,0,0,0,0,0,1,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0
は満足しています,0.000277152805756648,0,8,1,1,0,2,0,3,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
も含めて,0.000272728112506071,1,1,1,1,0,0,0,0,3,2,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
は思いますが,0.000272073178777706,0,7,0,3,1,2,2,0,1,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
をします,0.00026505793053875,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いのか,0.000257524985458811,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にある,0.000254335740644983,0,3,0,1,0,0,0,2,1,0,0,0,0,0,0,6,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,3,0,0,1,0,0,0,0,0,8,0,0,0,1,0,0,0
はあり,0.000252422193472973,0,8,0,1,0,0,2,2,1,5,0,0,0,0,1,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
が高く,0.00025049871136413,0,0,0,1,0,0,1,0,6,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,8,0,0,0,1,0,0,0,0
で満足しています,0.000244031677173403,0,8,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,3,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が良いとは,0.00024310245622809,0,2,2,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足です,0.000242323118212604,0,7,1,2,0,2,1,2,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
で決めました,0.000240317189925426,1,0,0,2,1,1,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が良くなりました,0.000240277903822433,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
という点では,0.000238417330989786,0,2,2,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいと,0.000237796321470678,0,0,1,1,0,1,3,2,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がありません,0.000236118261246128,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0
