"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,質感,コストパフォーマンス,デザイン,気持ち,レスポンス,評判,レンズ,発色,描写,不満,性能,色乗り,相性,もち,感触,精度,色のり,ホールド性,天気,感じ,価格,視認性,質,液晶,出来,カメラ,色,バッテリー,重さ,機能,感度,大きさ,画像,解像度,値段,ヌケ,補正,ボケ味,重量バランス,AF,描写力,操作感,切れ,問題,反応,満足度,解像感,ボケ,位置,ホールド,コントラスト,AF精度,色合い,音,取り回し,条件,完成度,機能性,シャッター音,見た目,場合,・操作性
がいいです,0.00200190526040024,3,6,12,3,6,1,1,1,1,0,0,9,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0
もよく,0.00191425544582562,5,11,4,5,6,6,5,1,2,1,1,0,0,0,0,6,0,0,0,3,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
がいい,0.00175642606275623,4,9,1,1,10,1,1,5,4,1,1,9,1,3,1,3,1,0,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
の高い,0.00168449796834421,2,0,0,0,0,0,0,0,5,36,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,45,1,0,0,0,11,1,0,0,0,0,37,0,0,0,0,0
が良いと,0.00160115636821843,9,13,6,2,2,1,1,2,1,2,1,0,0,0,2,0,4,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
のよい,0.00145432201927711,6,1,5,0,0,0,0,1,0,0,0,3,0,3,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
を考えると,0.00144912934170842,8,2,4,3,0,3,0,0,0,10,0,0,0,0,0,0,1,0,12,0,0,1,1,0,0,0,0,0,45,0,0,0,0,0,0,0,1,8,0,8,0,0,27,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
がよく,0.00141189606492024,5,1,5,3,1,0,1,0,1,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
がよい,0.00137329091683513,3,1,6,2,6,3,0,0,1,3,1,2,0,0,0,0,0,0,4,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,3
も良いと,0.00134073256751219,11,6,1,6,1,2,0,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
は思います,0.00131877567998793,0,28,1,11,0,12,4,4,2,2,11,0,0,0,6,2,5,0,4,1,0,0,0,0,0,1,0,0,3,1,0,5,1,3,1,3,1,1,1,0,1,1,2,0,3,2,0,2,0,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,4,0
も良いです,0.00129417981939244,4,5,1,9,5,2,4,0,2,0,2,0,0,0,0,4,3,0,0,2,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
は良好です,0.0011565446053831,3,2,5,6,0,3,9,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
が高い,0.00108537228119854,2,0,0,3,0,1,1,0,9,14,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,9,0,1,0,0,1,0,1,0,0,0,0,0,6,9,0,0,0,0,0,1,0,0,0,0,7,2,0,0,0,5,1,0,0,0,0,11,1,0,0,0,0
の取れた,0.00107310419484168,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,0.00105999120640414,4,11,3,9,0,0,0,2,2,1,6,0,0,0,3,0,0,0,3,0,2,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
が良いので,0.0010389172442351,2,5,3,2,2,1,3,1,0,0,2,0,1,6,0,1,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
はいいです,0.000971659613167119,0,11,3,4,1,10,2,7,5,1,3,0,0,0,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,0,0,2,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
は良い,0.000919042639345493,2,7,1,2,4,3,7,3,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
もいいです,0.000877803177354719,0,9,1,3,6,1,3,0,5,0,3,0,1,0,0,1,1,0,0,0,2,1,3,1,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,1,1,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
が悪いと,0.000862256858064937,4,4,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
は良く,0.000840373171001379,3,7,1,2,2,4,1,2,0,0,0,0,1,1,1,0,3,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
が悪く,0.000823973437285272,2,0,1,0,6,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
も良い,0.000802461887978306,1,10,1,8,4,1,1,2,6,0,2,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
のとれた,0.000755147396370073,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,0.000719113622749709,4,1,3,0,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が悪いです,0.000710627867733704,2,4,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
もいい,0.000685842473238227,2,4,1,5,0,0,3,3,0,1,2,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,1,0,0
を考えれば,0.000674309238182354,5,2,0,1,0,3,1,2,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,12,0,1,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,0.000656692234303216,0,6,1,1,0,1,5,8,0,0,1,0,0,0,1,1,0,15,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,1,0,0,0,2,3,0,1,1,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
は最高です,0.000653960056580181,0,7,2,1,1,1,0,4,4,9,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
がいいので,0.000639389193459418,0,1,1,2,6,5,1,2,0,1,0,1,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
に優れた,0.000616290336984203,0,1,0,2,0,5,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は高いと,0.000598913238171853,0,0,0,0,0,0,0,0,2,24,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
は抜群です,0.000578670720178356,1,1,0,6,1,17,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の悪い,0.000577675338138211,0,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
は感じです,0.000568125237356356,0,2,0,3,2,2,3,1,4,0,5,0,0,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,1,4,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0
が良くて,0.000567515073569977,1,2,1,0,2,1,1,2,1,0,0,0,1,0,1,0,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があり,0.000559265525313526,0,1,0,1,0,0,2,0,4,0,0,1,0,0,5,1,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,10,1,1,0,1,0,0,1,0,0,1,0,0,4,2,0,0,8,2,0,0,1,0,0,2,0,0,1,0,0,0,4,0
も良いので,0.00055750279274338,3,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
も良好です,0.000534773584697496,0,2,1,3,1,0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
はいいですね,0.000514170716221205,2,2,0,1,2,0,0,4,1,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は悪いです,0.000510658431956795,1,3,0,3,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
はありませんが,0.000509285816579828,0,4,0,1,1,7,2,0,1,0,2,0,0,0,2,0,0,26,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,6,0,1,1,1,0,0,9,0,0,3,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
がよいです,0.000503408757394267,0,0,5,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,0.000494901056025307,1,1,4,1,0,0,0,0,2,0,4,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
はありますが,0.000485373628219344,0,9,0,3,1,0,0,1,3,0,4,0,0,0,2,0,1,17,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,1,0,1,4,4,0,1,0,1,0,0,0,1,0,2,0,0,0,6,0,1,1,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0
はあります,0.000476117447995874,0,6,0,1,0,1,3,1,6,0,2,0,0,0,4,0,5,4,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,2,1,0,2,2,0,0,0,2,0,0,3,4,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,1,2,0
があります,0.000473115443359806,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,22,2,0,0,0,1,1,0,0,0,5,0,0,1,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,4,1,1,1,0,0,0,0,0,1,0,0,0,0,25,0
も満足しています,0.000465216648165295,1,11,0,2,1,0,2,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
になります,0.000463249104399284,1,5,0,0,0,0,0,3,0,0,1,2,0,0,3,3,7,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3,5,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
が感じます,0.000460046050790661,3,0,1,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
はします,0.000451129652000266,1,7,0,0,2,0,3,2,1,0,3,0,0,0,6,2,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,4,0,0,0,0
が良くない,0.000433710116576112,1,1,1,1,5,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
のある,0.000423930590395206,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,7,2,0,0,4,0,7,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
はよいです,0.000420657619897364,1,2,0,4,3,3,2,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
もなく,0.000410985503506577,1,5,1,2,1,1,0,0,1,0,0,0,0,0,1,2,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,12,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
は高いです,0.000404268767169454,0,0,0,1,0,0,1,0,2,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,68,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
は良いのですが,0.000400121570086982,0,4,0,4,1,5,3,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
といい,0.000398543290905125,0,3,0,1,0,1,2,0,4,1,1,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
にありません,0.000388157798270425,0,3,1,3,1,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
が高く,0.000384770020543292,0,0,0,1,0,0,1,0,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0
も高く,0.000376436740471356,0,0,0,0,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
をする,0.000376017050473027,0,2,0,0,0,0,0,18,0,0,0,0,0,0,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
が悪いので,0.000367211692660812,1,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
も悪くなく,0.000366860498551046,1,3,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
を考えて,0.000349088335126807,2,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
は思いますが,0.000348857333493082,0,7,0,3,1,2,2,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
には満足しています,0.000347498580873075,0,12,1,1,1,1,1,3,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は良いですね,0.000337989919393415,1,5,1,1,2,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
はよいと,0.000335646703493851,1,1,1,0,1,2,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
も含めて,0.000332632097577854,1,1,1,1,0,0,0,0,3,2,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
もいいですね,0.000331968142790074,0,1,1,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
はあり,0.000327398647558997,0,8,0,1,0,0,2,2,1,0,5,0,0,0,5,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1,0
