"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,質感,デザイン,気持ち,コストパフォーマンス,レスポンス,評判,レンズ,描写,発色,性能,色乗り,相性,感触,精度,色のり,天気,ホールド性,もち,価格,感じ,不満,視認性,出来,質,感度,色,ヌケ,カメラ,大きさ,重量バランス,操作感,重さ,ボケ味,値段,反応,液晶,切れ,位置,画像,機能,解像度,描写力
も良いですね,0.000186657859655413,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
はいい,0.000185155073020414,1,3,0,2,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もある,0.000184443109882544,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
を重視して,0.000182762901543138,2,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪くないです,0.000182584146208379,0,0,3,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
に満足しています,0.000178550654453404,0,4,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,2
にある,0.000177815055406508,0,3,0,1,0,0,0,2,1,0,0,0,0,0,6,5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,8,0,0,0,3
もありますが,0.000172046366680159,0,1,1,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
が高いです,0.000169780671349813,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
はよい,0.000169010462444625,1,4,1,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も気に入っています,0.000166920361060874,0,3,1,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
が好きです,0.000166139645540622,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
がありません,0.000165469701317504,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
は感じます,0.000164195731587348,0,8,0,2,0,1,1,1,2,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0,0,0
がなる,0.000161115928043806,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
も良くて,0.000160723012272158,0,4,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいし,0.000156300855009642,0,2,1,0,0,4,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪い,0.000155506035510106,0,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は落ちますが,0.000155405587835261,0,5,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
も思います,0.00015505554760979,0,5,1,3,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
は最高,0.000151824744221191,0,1,1,1,1,1,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
